Client,Accounting Document Number,Fiscal Year,Document Item in Invoice Document,Purchasing Document Number,Item Number of Purchasing Document,Due Date for Retention
100,1000027274,2022,21,4000002062,10,
100,1000027274,2022,22,4000002063,10,
100,1000027274,2022,23,4000002064,10,
100,1000027274,2022,24,4000002065,10,
100,1000027274,2022,25,4000002066,10,
100,1000027274,2022,26,4000002067,10,
100,1000027274,2022,27,4000002068,10,
100,1000027274,2022,28,4000002069,10,
100,1000027274,2022,29,4000002074,10,
100,1000027274,2022,30,4000002075,10,
100,1000027274,2022,31,4000002076,10,
100,1000027274,2022,32,4000002077,10,
100,1000027274,2022,33,4000002078,10,
100,1000027274,2022,34,4000002079,10,
100,1000027274,2022,35,4000002080,10,
100,1000027274,2022,36,4000002081,10,
100,1000027274,2022,37,4000002083,10,
100,1000027274,2022,38,4000002084,10,
100,1000027274,2022,39,4000002085,10,
100,1000027274,2022,40,4000002087,10,
100,1000027274,2022,41,4000002088,10,
100,1000027274,2022,42,4000002089,10,
100,1000027275,2022,1,4000002160,10,
100,1000027276,2022,1,4000002399,10,
100,1000027277,2022,1,4000002163,10,
100,1000027278,2022,1,4000002189,10,
100,1000027279,2022,1,4000002159,10,
100,1000027280,2022,1,4000002164,10,
100,1000027281,2022,1,4000002190,10,
100,1000027282,2022,1,4000002401,10,
100,1000027283,2022,1,4000002021,10,
100,1000027284,2022,1,4000002188,10,
100,1000027285,2022,1,4000002191,10,
100,1000027286,2022,1,4000002187,10,
100,1000027287,2022,1,4000002401,10,
100,1000027288,2022,1,4000002281,10,
100,1000027289,2022,1,4000002282,10,
100,1000027290,2022,1,4000002306,10,
100,1000027291,2022,1,4000002307,10,
100,1000027292,2022,1,4000002345,10,
100,1000027293,2022,1,4000002328,10,
100,1000027294,2022,1,4000002334,10,
100,1000027295,2022,1,4000002209,10,
100,1000027296,2022,1,4000002210,10,
100,1000027297,2022,1,4000002233,10,
100,1000027298,2022,1,4000002235,10,
100,1000027299,2022,1,4000002232,10,
100,1000027300,2022,1,4000002348,10,
100,1000027301,2022,1,4000002176,10,
100,1000027302,2022,1,4000002177,10,
100,1000027303,2022,1,4000002179,10,
100,1000027304,2022,1,4000002181,10,
100,1000027305,2022,1,4000039744,10,
100,1000027305,2022,2,4000039746,10,
100,1000027305,2022,3,4000039747,10,
100,1000027305,2022,4,4000039748,10,
100,1000027305,2022,5,4000039749,10,
100,1000027305,2022,6,4000039750,10,
100,1000027305,2022,7,4000039751,10,
100,1000027305,2022,8,4000039766,10,
100,1000027305,2022,9,4000039767,10,
100,1000027305,2022,10,4000039745,10,
100,1000027305,2022,11,4000039776,10,
100,1000027305,2022,12,4000039774,10,
100,1000027305,2022,13,4000039772,10,
100,1000027305,2022,14,4000039771,10,
100,1000027305,2022,15,4000039770,10,
100,1000027305,2022,16,4000039769,10,
100,1000027305,2022,17,4000039768,10,
100,1000027305,2022,18,4000039743,10,
100,1000027306,2022,1,4000002097,10,
100,1000027307,2022,2,4000012318,20,
100,1000027308,2022,1,4000002245,10,
100,1000027309,2022,1,4000050271,10,
100,1000027310,2022,1,4000002244,10,
100,1000027311,2022,1,4000039829,10,
100,1000027311,2022,2,4000039832,10,
100,1000027311,2022,3,4000039837,10,
100,1000027311,2022,4,4000039836,10,
100,1000027311,2022,5,4000039834,10,
100,1000027311,2022,6,4000039833,10,
100,1000027311,2022,7,4000039831,10,
100,1000027311,2022,8,4000039835,10,
100,1000027311,2022,9,4000039830,10,
100,1000027311,2022,10,4000039838,10,
100,1000027312,2022,1,4000002418,10,
100,1000027313,2022,1,4000002419,10,
100,1000027314,2022,1,4000002138,10,
100,1000027315,2022,1,4000021283,10,
100,1000027316,2022,1,4000021285,10,
100,1000027317,2022,1,4000021287,10,
100,1000027318,2022,1,4000020994,10,
100,1000027319,2022,1,4000021001,10,
100,1000027320,2022,1,4000018722,1,
100,1000027321,2022,1,4000021007,10,
100,1000027322,2022,1,4000002405,10,
100,1000027323,2022,1,4000021006,10,
100,1000027324,2022,1,4000031231,40,
100,1000027325,2022,1,4000002015,10,
100,1000027325,2022,2,4000002392,10,
100,1000027326,2022,1,4000001990,10,
100,1000027327,2022,1,4000050516,10,
100,1000027328,2022,1,4000002195,10,
100,1000027328,2022,2,4000002196,10,
100,1000027328,2022,3,4000002201,10,
100,1000027328,2022,4,4000002202,10,
100,1000027328,2022,5,4000002203,10,
100,1000027328,2022,6,4000002205,10,
100,1000027328,2022,7,4000002206,10,
100,1000027328,2022,8,4000002208,10,
100,1000027328,2022,9,4000002211,10,
100,1000027328,2022,10,4000002212,10,
100,1000027328,2022,11,4000002213,10,
100,1000027328,2022,12,4000002214,10,
100,1000027328,2022,13,4000002215,10,
100,1000027328,2022,14,4000002216,10,
100,1000027328,2022,15,4000002217,10,
100,1000027328,2022,16,4000002219,10,
100,1000027328,2022,17,4000002220,10,
100,1000027328,2022,18,4000002221,10,
100,1000027328,2022,19,4000002224,10,
100,1000027328,2022,20,4000002225,10,
100,1000027328,2022,21,4000021297,10,
100,1000027328,2022,22,4000002226,10,
100,1000027328,2022,23,4000002227,10,
100,1000027328,2022,24,4000002228,10,
100,1000027328,2022,25,4000002229,10,
100,1000027328,2022,26,4000002230,10,
100,1000027328,2022,27,4000002231,10,
100,1000027328,2022,28,4000002234,10,
100,1000027328,2022,29,4000002236,10,
100,1000027328,2022,30,4000002204,10,
100,1000027329,2022,1,4000050138,10,
100,1000027330,2022,1,4000018633,1,
100,1000027331,2022,1,4000018650,1,
100,1000027331,2022,2,4000018650,2,
100,1000027331,2022,3,4000018650,3,
100,1000027331,2022,4,4000018650,4,
100,1000027331,2022,5,4000018650,5,
100,1000027331,2022,6,4000018650,6,
100,1000027331,2022,7,4000018650,7,
100,1000027331,2022,8,4000018650,8,
100,1000027331,2022,9,4000018650,9,
100,1000027332,2022,1,4000021264,10,
100,1000027333,2022,1,4000018683,1,
100,1000027334,2022,1,4000002444,10,
100,1000027335,2022,1,4000021308,10,
100,1000027336,2022,2,4000002404,10,
100,1000027337,2022,1,4000021309,10,
100,1000027338,2022,1,4000021312,10,
100,1000027339,2022,1,4000021288,10,
100,1000027340,2022,1,4000021290,10,
100,1000027341,2022,1,4000021292,10,
100,1000027342,2022,1,4000021294,10,
100,1000027343,2022,1,4000021296,10,
100,1000027344,2022,1,4000002409,10,
100,1000027345,2022,1,4000021301,10,
100,1000027346,2022,1,4000021307,10,
100,1000027347,2022,1,4000021269,10,
100,1000027348,2022,1,4000002406,10,
100,1000027349,2022,1,4000002410,10,
100,1000027350,2022,1,4000021295,10,
100,1000027351,2022,1,4000002412,10,
100,1000027352,2022,1,4000002406,10,
100,1000027352,2022,2,4000002411,10,
100,1000027353,2022,1,4000002412,10,
100,1000027354,2022,1,4000002408,10,
100,1000027354,2022,2,4000002407,10,
100,1000027355,2022,1,4000002447,10,
100,1000027356,2022,1,4000002446,10,
100,1000027357,2022,1,4000002449,10,
100,1000027358,2022,1,4000002439,10,
100,1000027359,2022,1,4000002442,10,
100,1000027360,2022,1,4000002450,10,
100,1000027361,2022,1,4000021277,10,
100,1000027362,2022,1,4000002440,10,
100,1000027363,2022,1,4000002443,10,
100,1000027364,2022,1,4000002441,10,
100,1000027365,2022,1,4000002445,10,
100,1000027366,2022,1,4000002451,10,
100,1000027367,2022,1,4000002178,10,
100,1000027368,2022,1,4000002180,10,
100,1000027369,2022,1,4000021155,10,
100,1000027370,2022,1,4000018686,2,
100,1000027370,2022,2,4000018686,3,
100,1000027370,2022,3,4000018686,5,
100,1000027370,2022,4,4000018686,6,
100,1000027370,2022,5,4000018686,7,
100,1000027370,2022,6,4000018686,8,
100,1000027370,2022,7,4000018686,9,
100,1000027371,2022,1,4000021325,10,
100,1000027372,2022,1,4000021327,10,
100,1000027373,2022,2,4000021334,10,
100,1000027374,2022,1,4000021321,10,
100,1000027375,2022,1,4000021323,10,
100,1000027376,2022,1,4000018662,1,
100,1000027376,2022,2,4000018662,2,
100,1000027376,2022,3,4000018662,3,
100,1000027377,2022,1,4000012643,10,
100,1000027378,2022,1,4000018658,1,
100,1000027379,2022,1,4000050289,10,
100,1000027380,2022,1,4000021068,10,
100,1000027381,2022,1,4000020920,10,
100,1000027382,2022,1,4000020921,10,
100,1000027383,2022,1,4000020918,10,
100,1000027384,2022,1,4000020919,10,
100,1000027385,2022,1,4000020919,10,
100,1000027386,2022,1,4000039630,10,
100,1000027387,2022,1,4000039628,10,
100,1000027388,2022,1,4000039632,10,
100,1000027389,2022,1,4000002302,10,
100,1000027390,2022,1,4000021141,10,
100,1000027391,2022,1,4000021137,10,
100,1000027392,2022,1,4000021148,10,
100,1000027393,2022,1,4000021144,10,
100,1000027394,2022,1,4000021142,10,
100,1000027395,2022,1,4000021135,10,
100,1000027396,2022,1,4000021149,10,
100,1000027397,2022,1,4000021147,10,
100,1000027398,2022,1,4000021145,10,
100,1000027399,2022,1,4000039987,10,
100,1000027400,2022,1,4000021146,10,
100,1000027401,2022,1,4000021140,10,
100,1000027402,2022,1,4000002448,10,
100,1000027403,2022,1,4000002452,10,
100,1000027404,2022,1,4000021136,10,
100,1000027405,2022,3,4000050524,30,
100,1000027406,2022,1,4000050543,10,
100,1000027406,2022,2,4000050543,20,
100,1000027406,2022,3,4000050543,30,
100,1000027407,2022,1,4000002122,10,
100,1000027407,2022,2,4000002400,10,
100,1000027408,2022,1,4000012597,10,
100,1000027408,2022,2,4000012597,20,
100,1000027408,2022,3,4000012597,30,
100,1000027409,2022,1,4000002473,10,
100,1000027409,2022,2,4000021256,10,
100,1000027410,2022,1,4000012604,10,
100,1000027410,2022,2,4000012604,20,
100,1000027410,2022,3,4000012604,30,
100,1000027411,2022,1,4000018666,1,
100,1000027411,2022,2,4000018666,2,
100,1000027412,2022,1,4000040425,10,
100,1000027413,2022,1,4000018748,1,
100,1000027413,2022,2,4000018748,2,
100,1000027413,2022,3,4000018748,3,
100,1000027413,2022,4,4000018748,4,
100,1000027414,2022,1,4000050273,10,
100,1000027415,2022,1,4000002375,10,
100,1000027415,2022,2,4000040427,10,
100,1000027416,2022,1,4000021381,10,
100,1000027417,2022,1,4000050238,10,
100,1000027418,2022,1,4000021381,10,
100,1000027418,2022,2,4000040428,10,
100,1000027419,2022,1,4000040055,10,
100,1000027420,2022,1,4000040051,10,
100,1000027421,2022,1,4000018628,1,
100,1000027422,2022,1,4000018663,1,
100,1000027422,2022,2,4000018663,2,
100,1000027423,2022,1,4000018661,1,
100,1000027423,2022,2,4000018661,2,
100,1000027423,2022,3,4000018661,3,
100,1000027423,2022,4,4000018661,4,
100,1000027423,2022,5,4000018661,5,
100,1000027424,2022,1,4000018627,1,
100,1000027425,2022,1,4000018711,1,
100,1000027426,2022,1,4000018757,1,
100,1000027427,2022,2,4000002403,10,
100,1000027428,2022,1,4000040042,10,
100,1000027428,2022,2,4000040044,10,
100,1000027428,2022,3,4000040039,10,
100,1000027428,2022,4,4000040040,10,
100,1000027428,2022,5,4000040041,10,
100,1000027428,2022,6,4000040043,10,
100,1000027428,2022,7,4000040047,10,
100,1000027428,2022,8,4000040046,10,
100,1000027428,2022,9,4000040038,10,
100,1000027429,2022,1,4000018710,1,
100,1000027430,2022,1,4000018710,2,
100,1000027430,2022,2,4000018710,3,
100,1000027431,2022,1,4000018674,1,
100,1000027431,2022,2,4000018674,2,
100,1000027432,2022,1,4000018704,1,
100,1000027432,2022,2,4000018704,2,
100,1000027432,2022,3,4000018704,3,
100,1000027433,2022,1,4000050165,10,
100,1000027434,2022,1,4000040435,10,
100,1000027435,2022,1,4000021351,10,
100,1000027436,2022,1,4000040436,10,
100,1000027437,2022,1,4000002477,10,
100,1000027438,2022,1,4000002462,10,
100,1000027439,2022,1,4000020894,10,
100,1000027440,2022,1,4000002460,10,
100,1000027441,2022,1,4000002461,10,
100,1000027442,2022,1,4000021350,10,
100,1000027443,2022,1,4000002476,10,
100,1000027444,2022,1,4000021353,10,
100,1000027445,2022,1,4000021348,10,
100,1000027446,2022,1,4000021352,10,
100,1000027447,2022,1,4000050512,10,
100,1000027447,2022,2,4000050512,30,
100,1000027447,2022,3,4000050512,40,
100,1000027447,2022,4,4000050512,50,
100,1000027447,2022,5,4000050512,60,
100,1000027447,2022,6,4000050512,70,
100,1000027448,2022,1,4000040441,10,
100,1000027449,2022,1,4000040188,10,
100,1000027450,2022,1,4000002143,10,
100,1000027451,2022,1,4000002142,10,
100,1000027452,2022,1,4000050356,10,
100,1000027453,2022,1,4000040474,10,
100,1000027454,2022,1,4000020981,10,
100,1000027454,2022,2,4000020984,10,
100,1000027454,2022,3,4000020998,10,
100,1000027454,2022,4,4000020993,10,
100,1000027454,2022,5,4000021002,10,
100,1000027454,2022,6,4000021010,10,
100,1000027454,2022,7,4000021015,10,
100,1000027455,2022,1,4000002480,10,
100,1000027456,2022,1,4000018648,1,
100,1000027456,2022,2,4000018648,2,
100,1000027456,2022,3,4000018648,3,
100,1000027456,2022,4,4000018648,4,
100,1000027456,2022,5,4000018648,5,
100,1000027456,2022,6,4000018648,6,
100,1000027456,2022,7,4000018648,7,
100,1000027456,2022,8,4000018648,8,
100,1000027456,2022,9,4000018648,9,
100,1000027456,2022,10,4000018648,10,
100,1000027457,2022,1,4000012630,10,
100,1000027458,2022,1,4000002487,10,
100,1000027459,2022,1,4000040054,10,
100,1000027460,2022,1,4000002489,10,
100,1000027461,2022,1,4000002486,10,
100,1000027462,2022,1,4000002488,10,
100,1000027463,2022,1,4000040109,10,
100,1000027464,2022,1,4000040109,10,
100,1000027465,2022,1,4000040138,10,
100,1000027466,2022,1,4000002242,10,
100,1000027467,2022,1,4000040139,10,
100,1000027468,2022,1,4000040140,10,
100,1000027469,2022,1,4000020893,10,
100,1000027469,2022,2,4000040419,10,
100,1000027470,2022,1,4000002543,10,
100,1000027471,2022,1,4000002222,10,
100,1000027471,2022,2,4000002223,10,
100,1000027472,2022,1,4000040206,10,
100,1000027473,2022,1,4000021372,10,
100,1000027474,2022,1,4000021373,10,
100,1000027475,2022,1,4000021395,10,
100,1000027476,2022,1,4000021374,10,
100,1000027477,2022,1,4000021365,10,
100,1000027478,2022,1,4000021388,10,
100,1000027479,2022,1,4000021367,10,
100,1000027480,2022,1,4000021391,10,
100,1000027481,2022,1,4000040001,10,
100,1000027482,2022,1,4000021390,10,
100,1000027483,2022,1,4000040253,10,
100,1000027484,2022,1,4000002586,10,
100,1000027485,2022,1,4000021366,10,
100,1000027486,2022,1,4000040413,10,
100,1000027487,2022,1,4000040098,10,
100,1000027488,2022,1,4000040100,10,
100,1000027489,2022,1,4000040101,10,
100,1000027490,2022,1,4000040162,10,
100,1000027491,2022,1,4000040161,10,
100,1000027492,2022,1,4000020943,10,
100,1000027492,2022,2,4000020942,10,
100,1000027492,2022,3,4000020947,10,
100,1000027492,2022,4,4000020936,10,
100,1000027492,2022,5,4000020933,10,
100,1000027492,2022,6,4000020931,10,
100,1000027492,2022,7,4000020927,10,
100,1000027492,2022,8,4000020959,10,
100,1000027493,2022,1,4000002588,10,
100,1000027494,2022,1,4000002587,10,
100,1000027495,2022,1,4000040320,10,
100,1000027496,2022,1,4000040321,10,
100,1000027497,2022,1,4000040234,10,
100,1000027498,2022,1,4000021138,10,
100,1000027499,2022,1,4000040020,10,
100,1000027500,2022,1,4000040214,10,
100,1000027501,2022,1,4000002589,10,
100,1000027502,2022,1,4000040052,10,
100,1000027503,2022,1,4000050177,10,
100,1000027504,2022,1,4000021299,10,
100,1000027504,2022,2,4000021300,10,
100,1000027504,2022,3,4000021302,10,
100,1000027504,2022,4,4000021303,10,
100,1000027504,2022,5,4000021304,10,
100,1000027504,2022,6,4000021305,10,
100,1000027504,2022,7,4000021306,10,
100,1000027504,2022,8,4000021310,10,
100,1000027504,2022,9,4000021313,10,
100,1000027504,2022,10,4000021314,10,
100,1000027504,2022,11,4000021315,10,
100,1000027504,2022,12,4000021316,10,
100,1000027504,2022,13,4000021311,10,
100,1000027505,2022,1,4000012619,10,
100,1000027506,2022,1,4000050529,10,
100,1000027507,2022,1,4000002604,10,
100,1000027508,2022,1,4000002608,10,
100,1000027509,2022,1,4000002607,10,
100,1000027510,2022,1,4000002626,10,
100,1000027511,2022,1,4000002613,10,
100,1000027512,2022,1,4000002609,10,
100,1000027513,2022,1,4000002619,10,
100,1000027514,2022,1,4000002640,10,
100,1000027515,2022,1,4000002647,10,
100,1000027516,2022,1,4000002688,10,
100,1000027517,2022,1,4000002690,10,
100,1000027518,2022,1,4000002704,10,
100,1000027519,2022,1,4000002622,10,
100,1000027520,2022,1,4000002621,10,
100,1000027521,2022,1,4000002628,10,
100,1000027522,2022,1,4000002757,10,
100,1000027523,2022,1,4000002777,10,
100,1000027524,2022,1,4000002751,10,
100,1000027525,2022,1,4000012798,10,
100,1000027526,2022,1,4000012949,10,
100,1000027527,2022,1,4000012989,10,
100,1000027528,2022,1,4000012955,10,
100,1000027529,2022,1,4000012829,10,
100,1000027530,2022,1,4000012932,10,
100,1000027530,2022,2,4000012932,20,
100,1000027530,2022,3,4000012932,30,
100,1000027531,2022,1,4000031582,10,
100,1000027532,2022,1,4000021424,10,
100,1000027533,2022,1,4000021428,10,
100,1000027534,2022,1,4000021425,10,
100,1000027535,2022,1,4000021427,10,
100,1000027536,2022,1,4000021453,10,
100,1000027536,2022,2,4000039932,10,
100,1000027537,2022,1,4000021522,10,
100,1000027538,2022,1,4000021511,10,
100,1000027538,2022,2,4000002264,10,
100,1000027539,2022,1,4000021567,10,
100,1000027539,2022,2,4000001984,10,
100,1000027540,2022,1,4000021497,10,
100,1000027541,2022,1,4000021501,10,
100,1000027541,2022,2,4000002273,10,
100,1000027542,2022,1,4000021471,10,
100,1000027543,2022,1,4000021562,10,
100,1000027543,2022,2,4000039910,10,
100,1000027544,2022,1,4000021573,10,
100,1000027544,2022,2,4000039866,10,
100,1000027545,2022,1,4000021579,10,
100,1000027545,2022,2,4000001975,10,
100,1000027546,2022,1,4000021496,10,
100,1000027546,2022,2,4000021156,10,
100,1000027547,2022,1,4000021457,10,
100,1000027547,2022,2,4000001978,10,
100,1000027548,2022,1,4000021516,10,
100,1000027549,2022,1,4000021479,10,
100,1000027549,2022,2,4000002279,10,
100,1000027550,2022,1,4000021546,10,
100,1000027550,2022,2,4000040123,10,
100,1000027551,2022,1,4000021426,10,
100,1000027552,2022,1,4000021564,10,
100,1000027553,2022,1,4000002824,10,
100,1000027553,2022,2,4000021461,10,
100,1000027554,2022,1,4000021570,10,
100,1000027554,2022,2,4000021108,10,
100,1000027555,2022,1,4000021468,10,
100,1000027555,2022,2,4000039884,10,
100,1000027556,2022,1,4000021566,10,
100,1000027557,2022,1,4000021454,10,
100,1000027557,2022,2,4000040174,10,
100,1000027558,2022,1,4000021456,10,
100,1000027559,2022,1,4000021506,10,
100,1000027559,2022,2,4000021109,10,
100,1000027560,2022,1,4000021484,10,
100,1000027561,2022,1,4000021571,10,
100,1000027561,2022,2,4000040199,10,
100,1000027562,2022,1,4000021538,10,
100,1000027562,2022,2,4000039865,10,
100,1000027563,2022,1,4000021469,10,
100,1000027563,2022,2,4000039920,10,
100,1000027564,2022,1,4000021553,10,
100,1000027564,2022,2,4000001981,10,
100,1000027565,2022,1,4000021572,10,
100,1000027566,2022,1,4000021575,10,
100,1000027567,2022,1,4000021423,10,
100,1000027568,2022,1,4000021548,10,
100,1000027568,2022,2,4000039912,10,
100,1000027569,2022,1,4000021560,10,
100,1000027569,2022,2,4000039898,10,
100,1000027570,2022,1,4000021480,10,
100,1000027571,2022,1,4000021460,10,
100,1000027571,2022,2,4000040238,10,
100,1000027572,2022,1,4000021552,10,
100,1000027573,2022,1,4000012592,10,
100,1000027574,2022,1,4000012575,10,
100,1000027575,2022,1,4000017981,10,
100,1000027576,2022,1,4000017982,10,
100,1000027577,2022,1,4000018831,1,
100,1000027578,2022,1,4000031575,10,
100,1000027579,2022,1,4000018638,2,
100,1000027579,2022,2,4000018638,3,
100,1000027579,2022,3,4000018638,4,
100,1000027579,2022,4,4000018638,5,
100,1000027580,2022,1,4000002372,10,
100,1000027581,2022,1,4000050189,10,
100,1000027582,2022,4,4000050208,10,
100,1000027583,2022,2,4000031152,30,
100,1000027584,2022,1,4000021601,10,
100,1000027585,2022,1,4000031165,260,
100,1000027585,2022,2,4000031165,270,
100,1000027585,2022,3,4000031165,280,
100,1000027585,2022,4,4000031165,290,
100,1000027585,2022,5,4000031165,300,
100,1000027586,2022,1,4000018801,1,
100,1000027586,2022,2,4000018801,2,
100,1000027586,2022,3,4000018801,3,
100,1000027587,2022,1,4000018846,1,
100,1000027588,2022,1,4000018705,1,
100,1000027588,2022,2,4000018705,2,
100,1000027589,2022,1,4000018789,1,
100,1000027590,2022,1,4000018818,1,
100,1000027591,2022,1,4000031680,10,
100,1000027592,2022,1,4000018908,1,
100,1000027593,2022,1,4000018909,1,
100,1000027594,2022,1,4000021625,10,
100,1000027595,2022,1,4000050187,10,
100,1000027595,2022,2,4000050187,20,
100,1000027595,2022,3,4000050187,30,
100,1000027596,2022,1,4000012792,10,
100,1000027597,2022,1,4000012360,40,
100,1000027598,2022,1,4000012360,50,
100,1000027599,2022,1,4000040650,10,
100,1000027600,2022,1,4000040649,10,
100,1000027601,2022,1,4000040671,10,
100,1000027602,2022,1,4000002783,10,
100,1000027602,2022,2,4000040672,10,
100,1000027603,2022,1,4000040651,10,
100,1000027604,2022,1,4000040673,10,
100,1000027605,2022,1,4000040642,10,
100,1000027605,2022,2,4000040233,10,
100,1000027606,2022,1,4000040646,10,
100,1000027607,2022,1,4000050139,60,
100,1000027608,2022,1,4000018832,1,
100,1000027609,2022,1,4000050457,40,
100,1000027609,2022,2,4000050457,60,
100,1000027609,2022,3,4000050457,120,
100,1000027610,2022,1,4000031475,30,
100,1000027610,2022,2,4000031475,40,
100,1000027611,2022,1,4000050139,30,
100,1000027612,2022,1,4000012690,50,
100,1000027613,2022,1,4000050639,10,
100,1000027614,2022,1,4000018682,1,
100,1000027615,2022,1,4000018787,1,
100,1000027616,2022,1,4000018814,1,
100,1000027617,2022,1,4000031678,10,
100,1000027618,2022,1,4000018767,1,
100,1000027618,2022,2,4000018767,2,
100,1000027618,2022,3,4000018767,4,
100,1000027618,2022,4,4000018767,5,
100,1000027619,2022,1,4000018785,1,
100,1000027619,2022,2,4000018785,2,
100,1000027619,2022,3,4000018785,3,
100,1000027619,2022,4,4000018785,5,
100,1000027620,2022,1,4000000118,10,
100,1000027621,2022,1,4000002119,10,
100,1000027622,2022,1,4000021063,10,
100,1000027623,2022,1,4000021193,10,
100,1000027624,2022,1,4000002829,10,
100,1000027625,2022,1,4000002879,10,
100,1000027626,2022,1,4000040189,10,
100,1000027627,2022,1,4000040528,10,
100,1000027628,2022,1,4000012229,30,
100,1000027629,2022,1,4000040527,10,
100,1000027630,2022,1,4000040502,10,
100,1000027631,2022,1,4000040505,10,
100,1000027632,2022,1,4000021799,10,
100,1000027633,2022,1,4000040525,10,
100,1000027634,2022,1,4000021786,10,
100,1000027635,2022,1,4000021791,10,
100,1000027636,2022,1,4000021793,10,
100,1000027637,2022,1,4000021789,10,
100,1000027638,2022,1,4000021796,10,
