Client,Account Number of Vendor or Creditor,Date on which the Record Was Created
100,Vendor99,2018-11-28
100,Vendor100,2018-11-28
100,Vendor101,2018-11-28
100,Vendor102,2018-11-28
100,Vendor103,2018-11-28
100,Vendor104,2018-11-28
100,Vendor105,2018-11-28
100,Vendor106,2018-11-28
100,Vendor107,2018-11-28
100,Vendor108,2018-11-28
100,Vendor109,2018-11-28
100,Vendor110,2018-11-28
100,Vendor111,2018-11-28
100,Vendor112,2018-11-28
100,Vendor113,2018-11-28
100,Vendor114,2018-11-28
100,Vendor115,2018-11-28
100,Vendor116,2018-11-28
100,Vendor117,2018-11-28
100,Vendor118,2018-11-28
100,Vendor158,2018-11-28
100,Vendor159,2018-11-28
100,Vendor160,2018-11-28
100,Vendor161,2018-11-28
100,Vendor162,2018-11-28
100,Vendor163,2018-11-28
100,Vendor164,2018-11-28
100,Vendor165,2018-11-28
100,Vendor166,2018-11-28
100,Vendor167,2018-11-28
100,Vendor168,2018-11-28
100,Vendor169,2018-11-28
100,Vendor170,2018-11-28
100,Vendor171,2018-11-28
100,Vendor172,2018-11-28
100,Vendor173,2018-11-28
100,Vendor174,2018-11-28
100,Vendor175,2018-11-28
100,Vendor3340,2018-11-28
100,Vendor3341,2018-11-28
100,Vendor3342,2018-11-28
100,Vendor3343,2018-11-28
100,Vendor3344,2018-11-28
100,Vendor3345,2018-11-28
100,Vendor3346,2018-11-28
100,Vendor3347,2018-11-28
100,Vendor3348,2018-11-28
100,Vendor3349,2018-11-28
100,Vendor3350,2018-11-28
100,Vendor3351,2018-11-28
100,Vendor3352,2018-11-28
100,Vendor3353,2018-11-28
100,Vendor3354,2018-11-28
100,Vendor3355,2018-11-28
100,Vendor3356,2018-11-28
100,Vendor3357,2018-11-28
100,Vendor3358,2018-11-28
100,Vendor3359,2018-11-28
100,Vendor3360,2018-11-28
100,Vendor3361,2018-11-28
100,Vendor3362,2018-11-28
100,Vendor3363,2018-11-28
100,Vendor3364,2018-11-28
100,Vendor3365,2018-11-28
100,Vendor3366,2018-11-28
100,Vendor3367,2018-11-28
100,Vendor3368,2018-11-28
100,Vendor3369,2018-11-28
100,Vendor3370,2018-11-28
100,Vendor3371,2018-11-28
100,Vendor3372,2018-11-28
100,Vendor3373,2018-11-28
100,Vendor3374,2018-11-28
100,Vendor3375,2018-11-28
100,Vendor3376,2018-11-28
100,Vendor3377,2018-11-28
100,Vendor3378,2018-11-28
100,Vendor3379,2018-11-28
100,Vendor3380,2018-11-28
100,Vendor3381,2018-11-28
100,Vendor3382,2018-11-28
100,Vendor3383,2018-11-28
100,Vendor3384,2018-11-28
100,Vendor3385,2018-11-28
100,Vendor3386,2018-11-28
100,Vendor3387,2018-11-28
100,Vendor3388,2018-11-28
100,Vendor2411,2018-11-28
100,Vendor2412,2018-11-28
100,Vendor2413,2018-11-28
100,Vendor2414,2018-11-28
100,Vendor2415,2018-11-28
100,Vendor2416,2018-11-28
100,Vendor2417,2018-11-28
100,Vendor2418,2018-11-28
100,Vendor2419,2018-11-28
100,Vendor2420,2018-11-28
100,Vendor2421,2018-11-28
100,Vendor2422,2018-11-28
100,Vendor2423,2018-11-28
100,Vendor2424,2018-11-28
100,Vendor2425,2018-11-28
100,Vendor2426,2018-11-28
100,Vendor2427,2018-11-28
100,Vendor2428,2018-11-28
100,Vendor2429,2018-11-28
100,Vendor2430,2018-11-28
100,Vendor2431,2018-11-28
100,Vendor2432,2018-11-28
100,Vendor2447,2018-11-28
100,Vendor2448,2018-11-28
100,Vendor2449,2018-11-29
100,Vendor2450,2018-11-29
100,Vendor2451,2019-02-25
100,Vendor2452,2018-12-12
100,Vendor2453,2018-12-12
100,Vendor2454,2018-12-27
100,Vendor2455,2018-12-27
100,Vendor2456,2018-12-27
100,Vendor1300,2019-01-08
100,Vendor1301,2019-01-04
100,Vendor1302,2019-01-24
100,Vendor1303,2019-01-19
100,Vendor1304,2019-01-23
100,Vendor1305,2019-02-27
100,Vendor1306,2019-02-27
100,Vendor1307,2019-02-27
100,Vendor1308,2019-02-27
100,Vendor1309,2019-02-27
100,Vendor1310,2019-02-27
100,Vendor1311,2019-02-27
100,Vendor1312,2019-02-27
100,Vendor1313,2019-02-27
100,Vendor1314,2019-02-27
100,Vendor1315,2019-02-27
100,Vendor1316,2019-02-27
100,Vendor1317,2019-02-27
100,Vendor1318,2019-02-27
100,Vendor1319,2019-02-27
100,Vendor1320,2019-02-27
100,Vendor1321,2019-02-27
100,Vendor1322,2019-02-27
100,Vendor1323,2019-02-27
100,Vendor1324,2019-02-27
100,Vendor1325,2019-02-27
100,Vendor1326,2019-02-27
100,Vendor1327,2019-02-27
100,Vendor1328,2019-02-27
100,Vendor1329,2019-02-27
100,Vendor1330,2019-02-27
100,Vendor1331,2019-02-27
100,Vendor1332,2019-02-27
100,Vendor1333,2019-02-27
100,Vendor1334,2019-02-27
100,Vendor1335,2019-02-27
100,Vendor1336,2019-02-27
100,Vendor1337,2019-02-27
100,Vendor1338,2019-02-27
100,Vendor1339,2019-02-27
100,Vendor1340,2019-02-27
100,Vendor1341,2019-02-27
100,Vendor1342,2019-02-27
100,Vendor1343,2019-02-27
100,Vendor1344,2019-02-27
100,Vendor1345,2019-02-27
100,Vendor1346,2019-02-27
100,Vendor1347,2019-02-27
100,Vendor1348,2019-02-27
100,Vendor1349,2019-02-27
100,Vendor1350,2019-02-27
100,Vendor1351,2019-02-27
100,Vendor1352,2019-02-27
100,Vendor1353,2019-02-27
100,Vendor1354,2019-02-27
100,Vendor1355,2019-02-27
100,Vendor1356,2019-02-27
100,Vendor1357,2019-02-27
100,Vendor1358,2019-02-27
100,Vendor1359,2019-02-27
100,Vendor1360,2019-02-27
100,Vendor1361,2019-02-27
100,Vendor1362,2019-02-27
100,Vendor1363,2019-02-27
100,Vendor1364,2019-02-27
100,Vendor1365,2019-02-27
100,Vendor1366,2019-02-27
100,Vendor1367,2019-02-27
100,Vendor1368,2019-02-27
100,Vendor1369,2019-02-27
100,Vendor1370,2019-02-27
100,Vendor1371,2019-02-27
100,Vendor1372,2019-02-27
100,Vendor1373,2019-02-27
100,Vendor1374,2019-02-27
100,Vendor1375,2019-02-27
100,Vendor1376,2019-02-27
100,Vendor1377,2019-02-27
100,Vendor1378,2019-02-27
100,Vendor1379,2019-02-27
100,Vendor1380,2019-02-27
100,Vendor1381,2019-02-27
100,Vendor1382,2019-02-27
100,Vendor1383,2019-02-27
100,Vendor1384,2019-02-27
100,Vendor1385,2019-02-27
100,Vendor1386,2019-02-27
100,Vendor1387,2019-02-27
100,Vendor1388,2019-02-27
100,Vendor1389,2019-02-27
100,Vendor1390,2019-02-27
100,Vendor1391,2019-02-27
100,Vendor1392,2019-02-27
100,Vendor1393,2019-02-27
100,Vendor1394,2019-02-27
100,Vendor251,2019-02-27
100,Vendor252,2019-02-27
100,Vendor253,2019-02-27
100,Vendor254,2019-02-27
100,Vendor255,2019-02-27
100,Vendor256,2019-02-27
100,Vendor257,2019-02-27
100,Vendor258,2019-02-27
100,Vendor259,2019-02-27
100,Vendor260,2019-02-27
100,Vendor261,2019-02-27
100,Vendor262,2019-02-27
100,Vendor263,2019-02-27
100,Vendor264,2019-02-27
100,Vendor265,2019-02-27
100,Vendor266,2019-02-27
100,Vendor267,2019-02-27
100,Vendor268,2019-02-27
100,Vendor269,2019-02-27
100,Vendor270,2019-02-27
100,Vendor271,2019-02-27
100,Vendor272,2019-02-27
100,Vendor273,2019-02-27
100,Vendor274,2019-02-27
100,Vendor275,2019-02-27
100,Vendor276,2019-02-27
100,Vendor277,2019-02-27
100,Vendor278,2019-02-27
100,Vendor3500,2019-02-27
100,Vendor3501,2019-02-27
100,Vendor3502,2019-02-27
100,Vendor3503,2019-02-27
100,Vendor3504,2019-02-27
100,Vendor3505,2019-02-27
100,Vendor3506,2019-02-27
100,Vendor3507,2019-02-27
100,Vendor3508,2019-02-27
100,Vendor3509,2019-02-27
100,Vendor3510,2019-02-27
100,Vendor3511,2019-02-27
100,Vendor3512,2019-02-27
100,Vendor3513,2019-02-27
100,Vendor3514,2019-02-27
100,Vendor3515,2019-02-27
100,Vendor3516,2019-02-27
100,Vendor3517,2019-02-27
100,Vendor3518,2019-02-27
100,Vendor3519,2019-02-27
100,Vendor3520,2019-02-27
100,Vendor3521,2019-02-27
100,Vendor3522,2019-02-27
100,Vendor3523,2019-02-27
100,Vendor3524,2019-02-27
100,Vendor3525,2019-02-27
100,Vendor3526,2019-02-27
100,Vendor3527,2019-02-27
100,Vendor3552,2019-02-27
100,Vendor3553,2019-02-27
100,Vendor3554,2019-02-27
100,Vendor2527,2019-02-27
100,Vendor2528,2019-02-27
100,Vendor2529,2019-02-27
100,Vendor2530,2019-02-27
100,Vendor2531,2019-02-27
100,Vendor2532,2019-02-27
100,Vendor2533,2019-02-27
100,Vendor2534,2019-02-27
100,Vendor2535,2019-02-27
100,Vendor2536,2019-02-27
100,Vendor2537,2019-02-27
100,Vendor2538,2019-02-27
100,Vendor2539,2019-02-27
100,Vendor2540,2019-02-27
100,Vendor2541,2019-02-27
100,Vendor2542,2019-02-27
100,Vendor2543,2019-02-27
100,Vendor2544,2019-02-27
100,Vendor2545,2019-02-27
100,Vendor2546,2019-02-27
100,Vendor2547,2019-02-27
100,Vendor2548,2019-02-27
100,Vendor2549,2019-02-27
100,Vendor2550,2019-02-27
100,Vendor1453,2019-02-27
100,Vendor1454,2019-02-27
100,Vendor1455,2019-02-27
100,Vendor1456,2019-02-27
100,Vendor1457,2019-02-27
100,Vendor1458,2019-02-27
100,Vendor1459,2019-02-27
100,Vendor1460,2019-02-27
100,Vendor1461,2019-02-27
100,Vendor1462,2019-02-27
100,Vendor1463,2019-02-27
100,Vendor1464,2019-02-27
100,Vendor1465,2019-02-27
100,Vendor1466,2019-02-27
100,Vendor1467,2019-02-27
100,Vendor1468,2019-02-27
100,Vendor1469,2019-02-27
100,Vendor1470,2019-02-27
100,Vendor1471,2019-02-27
100,Vendor1472,2019-02-27
100,Vendor1473,2019-02-27
100,Vendor1474,2019-02-27
100,Vendor1475,2019-02-27
100,Vendor1476,2019-02-27
100,Vendor1477,2019-02-27
100,Vendor1478,2019-02-27
100,Vendor1479,2019-02-27
100,Vendor1480,2019-02-27
100,Vendor1481,2019-02-27
100,Vendor1482,2019-02-27
100,Vendor1483,2019-02-27
100,Vendor1484,2019-02-27
100,Vendor1485,2019-02-27
100,Vendor1486,2019-02-27
100,Vendor1487,2019-02-27
100,Vendor1488,2019-02-27
100,Vendor1489,2019-02-27
100,Vendor1490,2019-02-27
100,Vendor1491,2019-02-27
100,Vendor1492,2019-02-27
100,Vendor1493,2019-02-27
100,Vendor1494,2019-02-27
100,Vendor1495,2019-02-27
100,Vendor1496,2019-02-27
100,Vendor1497,2019-02-27
100,Vendor1498,2019-02-27
100,Vendor1499,2019-02-27
100,Vendor1500,2019-02-27
100,Vendor1501,2019-02-27
100,Vendor1502,2019-02-27
100,Vendor1503,2019-02-27
100,Vendor1504,2019-02-27
100,Vendor1505,2019-02-27
100,Vendor1506,2019-02-27
100,Vendor1507,2019-02-27
100,Vendor1508,2019-02-27
100,Vendor1509,2019-02-27
100,Vendor1510,2019-02-27
100,Vendor2575,2019-02-27
100,Vendor2576,2019-02-27
100,Vendor2577,2019-02-27
100,Vendor2578,2019-02-27
100,Vendor2579,2019-02-27
100,Vendor2580,2019-02-27
100,Vendor2581,2019-02-27
100,Vendor2582,2019-02-27
100,Vendor2583,2019-02-27
100,Vendor2584,2019-02-27
100,Vendor2585,2019-02-27
100,Vendor2586,2019-02-27
100,Vendor2587,2019-02-27
100,Vendor2588,2019-02-27
100,Vendor2589,2019-02-27
100,Vendor2590,2019-02-27
100,Vendor2591,2019-02-27
100,Vendor2592,2019-02-27
100,Vendor2593,2019-02-27
100,Vendor2594,2019-02-27
100,Vendor2595,2019-02-27
100,Vendor2596,2019-02-27
100,Vendor2597,2019-02-27
100,Vendor2598,2019-02-27
100,Vendor2599,2019-02-27
100,Vendor2600,2019-02-27
100,Vendor2601,2019-02-27
100,Vendor2602,2019-02-27
100,Vendor2603,2019-02-27
100,Vendor2604,2019-02-27
100,Vendor2605,2019-02-27
100,Vendor2606,2019-02-27
100,Vendor2607,2019-02-27
100,Vendor2608,2019-02-27
100,Vendor2609,2019-02-27
100,Vendor2610,2019-02-27
100,Vendor2611,2019-02-27
100,Vendor2612,2019-02-27
100,Vendor2613,2019-02-27
100,Vendor2614,2019-02-27
100,Vendor2615,2019-02-27
100,Vendor2616,2019-02-27
100,Vendor2617,2019-02-27
100,Vendor2618,2019-02-27
100,Vendor2619,2019-02-27
100,Vendor2620,2019-02-27
100,Vendor2621,2019-02-27
100,Vendor2622,2019-02-27
100,Vendor2623,2019-02-27
100,Vendor1550,2019-02-27
100,Vendor1551,2019-02-27
100,Vendor1552,2019-02-27
100,Vendor1553,2019-02-27
100,Vendor1554,2019-02-27
100,Vendor1555,2019-02-27
100,Vendor1556,2019-02-27
100,Vendor1557,2019-02-27
100,Vendor1558,2019-02-27
100,Vendor1559,2019-02-27
100,Vendor1560,2019-02-27
100,Vendor1561,2019-02-27
100,Vendor1562,2019-02-27
100,Vendor1563,2019-02-27
100,Vendor1564,2019-02-27
100,Vendor1565,2019-02-27
100,Vendor1566,2019-02-27
100,Vendor1567,2019-02-27
100,Vendor1568,2019-02-27
100,Vendor1569,2019-02-27
100,Vendor1570,2019-02-27
100,Vendor1571,2019-02-27
100,Vendor1572,2019-02-27
100,Vendor1573,2019-02-27
100,Vendor1574,2019-02-27
100,Vendor1575,2019-02-27
100,Vendor1576,2019-02-27
100,Vendor1577,2019-02-27
100,Vendor1578,2019-02-27
100,Vendor1579,2019-02-27
100,Vendor1580,2019-02-27
100,Vendor1581,2019-02-27
100,Vendor1582,2019-02-27
100,Vendor1583,2019-02-27
100,Vendor1584,2019-02-27
100,Vendor1585,2019-02-27
100,Vendor1586,2019-02-27
100,Vendor1587,2019-02-27
100,Vendor1588,2019-02-27
100,Vendor1589,2019-02-27
100,Vendor1590,2019-02-27
100,Vendor1591,2019-02-27
100,Vendor1592,2019-02-27
100,Vendor1593,2019-02-27
100,Vendor1594,2019-02-27
100,Vendor1595,2019-02-27
100,Vendor1596,2019-02-27
100,Vendor1597,2019-02-27
100,Vendor1642,2019-02-27
100,Vendor1643,2019-02-27
100,Vendor1644,2019-02-27
100,Vendor1645,2019-02-27
100,Vendor1646,2019-02-27
100,Vendor1647,2019-02-27
100,Vendor1648,2019-02-27
100,Vendor1649,2019-02-27
100,Vendor1650,2019-02-27
100,Vendor1651,2019-02-27
100,Vendor1652,2019-02-27
100,Vendor1653,2019-02-27
100,Vendor1654,2019-02-27
100,Vendor1655,2019-02-27
100,Vendor1656,2019-02-27
100,Vendor1657,2019-02-27
100,Vendor1658,2019-02-27
100,Vendor1659,2019-02-27
100,Vendor1660,2019-02-27
100,Vendor1661,2019-02-27
100,Vendor1662,2019-02-27
100,Vendor1663,2019-02-27
100,Vendor1664,2019-02-27
100,Vendor1665,2019-02-27
100,Vendor1666,2019-02-27
100,Vendor1667,2019-02-27
100,Vendor1668,2019-02-27
100,Vendor1669,2019-02-27
100,Vendor1670,2019-02-27
100,Vendor1671,2019-02-27
100,Vendor1672,2019-02-27
100,Vendor1673,2019-02-27
100,Vendor1674,2019-02-27
100,Vendor1675,2019-02-27
100,Vendor1676,2019-02-27
100,Vendor1677,2019-02-27
100,Vendor504,2019-02-27
100,Vendor505,2019-02-27
100,Vendor506,2019-02-27
100,Vendor507,2019-02-27
100,Vendor508,2019-03-06
100,Vendor509,2019-03-06
100,Vendor510,2019-02-28
100,Vendor511,2019-02-28
100,Vendor512,2019-05-30
100,Vendor513,2019-05-30
100,Vendor514,2019-07-04
100,Vendor515,2019-03-01
100,Vendor516,2019-03-01
100,Vendor517,2019-03-11
100,Vendor518,2019-03-07
100,Vendor519,2019-03-12
100,Vendor520,2019-03-06
100,Vendor521,2019-03-07
100,Vendor522,2019-03-11
100,Vendor523,2019-03-11
100,Vendor524,2019-03-11
100,Vendor525,2019-03-13
100,Vendor526,2019-03-15
100,Vendor527,2019-03-21
100,Vendor528,2019-03-18
100,Vendor529,2019-03-18
100,Vendor530,2019-03-19
100,Vendor531,2019-03-22
100,Vendor532,2019-03-27
100,Vendor533,2019-03-22
100,Vendor534,2019-03-27
100,Vendor535,2019-03-27
100,Vendor536,2019-03-28
100,Vendor537,2019-03-28
100,Vendor538,2019-03-28
100,Vendor539,2019-03-28
100,Vendor540,2019-03-28
100,Vendor541,2019-03-28
100,Vendor542,2019-03-28
100,Vendor543,2019-03-28
100,Vendor544,2019-04-05
100,Vendor545,2019-04-04
100,Vendor546,2019-04-18
100,Vendor547,2019-04-11
100,Vendor548,2019-04-12
100,Vendor549,2019-04-12
100,Vendor550,2019-04-12
100,Vendor551,2019-04-12
100,Vendor552,2019-04-23
100,Vendor553,2019-04-16
100,Vendor554,2019-04-23
100,Vendor555,2019-04-23
100,Vendor556,2019-04-23
100,Vendor557,2019-05-01
100,Vendor558,2019-08-09
100,Vendor559,2019-05-01
100,Vendor560,2019-05-05
100,Vendor561,2019-05-10
100,Vendor1690,2019-05-29
100,Vendor1691,2019-05-29
100,Vendor1692,2019-05-29
100,Vendor1693,2019-05-29
100,Vendor1694,2019-05-29
100,Vendor1695,2019-05-29
100,Vendor1696,2019-05-29
100,Vendor1697,2019-05-29
100,Vendor1698,2019-05-29
100,Vendor1699,2019-05-29
100,Vendor1700,2019-05-29
100,Vendor1701,2019-05-29
100,Vendor1702,2019-05-29
100,Vendor1703,2019-05-29
100,Vendor1704,2019-05-29
100,Vendor1705,2019-05-29
100,Vendor1706,2019-05-29
100,Vendor1707,2019-05-29
100,Vendor1708,2019-05-29
100,Vendor1709,2019-05-29
100,Vendor1710,2019-05-29
100,Vendor1711,2019-05-29
100,Vendor1712,2019-05-29
100,Vendor1713,2019-05-29
100,Vendor1714,2019-05-29
100,Vendor1715,2019-05-29
100,Vendor1716,2019-05-29
100,Vendor1717,2019-05-29
100,Vendor1718,2019-05-29
100,Vendor1719,2019-05-29
100,Vendor1720,2019-05-29
100,Vendor1721,2019-05-29
100,Vendor1722,2019-05-29
100,Vendor1723,2019-05-29
100,Vendor1724,2019-05-29
100,Vendor1725,2019-05-29
100,Vendor1726,2019-05-29
100,Vendor1727,2019-05-29
100,Vendor1728,2019-05-29
100,Vendor1729,2019-05-29
100,Vendor1730,2019-05-29
100,Vendor1731,2019-05-29
100,Vendor1732,2019-05-29
100,Vendor1733,2019-05-29
100,Vendor1734,2019-05-29
100,Vendor1735,2019-05-29
100,Vendor1736,2019-05-29
100,Vendor1737,2019-05-29
100,Vendor1738,2019-05-29
100,Vendor1739,2019-05-29
100,Vendor1740,2019-05-29
100,Vendor1741,2019-05-29
100,Vendor1742,2019-05-29
100,Vendor1743,2019-05-29
100,Vendor1744,2019-05-29
100,Vendor1745,2019-05-29
100,Vendor1746,2019-05-29
100,Vendor1747,2019-05-29
100,Vendor1748,2019-05-29
100,Vendor1749,2019-05-29
100,Vendor1750,2019-05-29
100,Vendor1751,2019-05-29
100,Vendor1752,2019-05-29
100,Vendor1753,2019-05-29
100,Vendor1754,2019-05-29
100,Vendor1755,2019-05-29
100,Vendor1756,2019-05-29
100,Vendor1757,2019-05-29
100,Vendor1758,2019-05-29
100,Vendor1759,2019-05-29
100,Vendor1760,2019-05-29
100,Vendor573,2019-05-29
100,Vendor574,2019-05-29
100,Vendor575,2019-05-29
100,Vendor576,2019-05-29
100,Vendor577,2019-05-29
100,Vendor578,2019-05-29
100,Vendor579,2019-05-29
100,Vendor580,2019-05-29
100,Vendor581,2019-05-29
100,Vendor582,2019-05-29
100,Vendor583,2019-05-29
100,Vendor584,2019-05-29
100,Vendor585,2019-05-29
100,Vendor586,2019-05-29
100,Vendor587,2019-05-29
100,Vendor588,2019-05-29
100,Vendor589,2019-05-29
100,Vendor590,2019-05-29
100,Vendor591,2019-05-29
100,Vendor592,2019-05-29
100,Vendor593,2019-05-29
100,Vendor594,2019-05-29
100,Vendor595,2019-05-29
100,Vendor596,2019-05-29
100,Vendor597,2019-05-29
100,Vendor598,2019-05-29
100,Vendor599,2019-05-29
100,Vendor600,2019-05-29
100,Vendor601,2019-05-29
100,Vendor602,2019-05-29
100,Vendor603,2019-05-29
100,Vendor604,2019-05-29
100,Vendor605,2019-05-29
100,Vendor606,2019-05-29
100,Vendor607,2019-05-29
100,Vendor608,2019-05-29
100,Vendor609,2019-05-29
100,Vendor2838,2019-05-29
100,Vendor2839,2019-05-29
100,Vendor2840,2019-05-29
100,Vendor2841,2019-05-29
100,Vendor2842,2019-05-29
100,Vendor2843,2019-05-29
100,Vendor2844,2019-05-29
100,Vendor2845,2019-05-29
100,Vendor2846,2019-05-29
100,Vendor2847,2019-05-29
100,Vendor2848,2019-05-29
100,Vendor2849,2019-05-29
100,Vendor2850,2019-05-29
100,Vendor2851,2019-05-29
100,Vendor2852,2019-05-29
100,Vendor2853,2019-05-29
100,Vendor2854,2019-05-29
100,Vendor2855,2019-05-29
100,Vendor2856,2019-05-29
100,Vendor2857,2019-05-29
100,Vendor2858,2019-05-29
100,Vendor2859,2019-05-29
100,Vendor2860,2019-05-29
100,Vendor2861,2019-05-29
100,Vendor2862,2019-05-29
100,Vendor2863,2019-05-29
100,Vendor2864,2019-05-29
100,Vendor2865,2019-05-29
100,Vendor2866,2019-05-29
100,Vendor2867,2019-05-29
100,Vendor2868,2019-05-29
100,Vendor2869,2019-05-29
100,Vendor2870,2019-05-29
100,Vendor2871,2019-05-29
100,Vendor2872,2019-05-29
100,Vendor2873,2019-05-29
100,Vendor2874,2019-05-29
100,Vendor2875,2019-05-29
100,Vendor2876,2019-05-29
100,Vendor2877,2019-05-29
100,Vendor2878,2019-05-29
100,Vendor2879,2019-05-29
100,Vendor2880,2019-05-29
100,Vendor1761,2019-05-29
100,Vendor1762,2019-05-29
100,Vendor1763,2019-05-29
100,Vendor1764,2019-05-29
100,Vendor1765,2019-05-29
100,Vendor1766,2019-05-29
100,Vendor1767,2019-05-29
100,Vendor1768,2019-05-29
100,Vendor1769,2019-05-29
100,Vendor1770,2019-05-29
100,Vendor1771,2019-05-29
100,Vendor710,2019-05-29
100,Vendor711,2019-05-29
100,Vendor712,2019-05-29
100,Vendor713,2019-05-29
100,Vendor714,2019-05-29
100,Vendor715,2019-05-29
100,Vendor716,2019-05-29
100,Vendor717,2019-05-29
100,Vendor718,2019-05-29
100,Vendor719,2019-05-29
100,Vendor720,2019-05-29
100,Vendor721,2019-05-29
100,Vendor722,2019-05-29
100,Vendor723,2019-05-29
100,Vendor724,2019-05-29
100,Vendor725,2019-05-29
100,Vendor726,2019-05-29
100,Vendor727,2019-05-29
100,Vendor728,2019-05-29
100,Vendor729,2019-05-29
100,Vendor730,2019-05-29
100,Vendor731,2019-05-29
100,Vendor732,2019-05-29
100,Vendor733,2019-05-29
100,Vendor734,2019-05-29
100,Vendor735,2019-05-29
100,Vendor736,2019-05-29
100,Vendor737,2019-05-29
100,Vendor738,2019-05-29
100,Vendor739,2019-05-29
100,Vendor740,2019-05-29
100,Vendor741,2019-05-29
100,Vendor742,2019-05-29
100,Vendor743,2019-05-29
100,Vendor744,2019-05-29
100,Vendor745,2019-05-29
100,Vendor746,2019-05-29
100,Vendor747,2019-05-29
100,Vendor748,2019-05-29
100,Vendor749,2019-05-29
100,Vendor750,2019-05-29
100,Vendor751,2019-05-29
100,Vendor752,2019-05-29
100,Vendor753,2019-05-29
100,Vendor754,2019-05-29
100,Vendor755,2019-05-29
100,Vendor756,2019-05-29
100,Vendor757,2019-05-29
100,Vendor758,2019-05-29
100,Vendor759,2019-05-29
100,Vendor760,2019-05-29
100,Vendor761,2019-05-29
100,Vendor762,2019-05-29
100,Vendor763,2019-05-29
100,Vendor764,2019-05-29
100,Vendor765,2019-05-29
100,Vendor766,2019-05-29
100,Vendor767,2019-05-29
100,Vendor768,2019-05-29
100,Vendor769,2019-05-29
100,Vendor770,2019-05-29
100,Vendor771,2019-05-29
100,Vendor772,2019-05-29
100,Vendor773,2019-05-29
100,Vendor774,2019-05-29
100,Vendor775,2019-05-29
100,Vendor776,2019-05-29
100,Vendor777,2019-05-29
100,Vendor778,2019-05-29
100,Vendor779,2019-05-29
100,Vendor780,2019-05-29
100,Vendor781,2019-05-29
100,Vendor782,2019-05-29
100,Vendor783,2019-05-29
100,Vendor784,2019-05-29
100,Vendor785,2019-05-29
100,Vendor786,2019-05-29
100,Vendor787,2019-05-29
100,Vendor788,2019-05-29
100,Vendor789,2019-05-29
100,Vendor790,2019-05-29
100,Vendor791,2019-05-29
100,Vendor792,2019-05-29
100,Vendor793,2019-05-29
100,Vendor794,2019-05-29
100,Vendor795,2019-05-29
