Client,Material Number,Created On,Date of Last Change,Date from which the cross-plant material status is valid,Date from which the X-distr.-chain material status is valid,Product hierarchy,Deletion date
100,MAT53,2019-12-04,2022-07-01,,,,
100,MAT54,2019-12-04,2022-07-01,,,,
100,MAT55,2019-12-05,2022-05-31,,,,
100,MAT56,2019-12-05,2022-07-19,,,,
100,MAT57,2019-12-05,2022-07-01,,,,
100,MAT58,2019-12-05,2022-07-01,,,,
100,MAT59,2019-12-05,2022-07-01,,,,
100,MAT60,2019-12-05,2022-07-01,,,,
100,MAT61,2019-12-05,2022-07-01,,,,
100,MAT62,2019-12-05,2022-07-19,,,,
100,MAT63,2019-12-05,2022-07-01,,,,
100,MAT64,2019-12-05,2022-07-19,,,,
100,MAT65,2019-12-05,2022-07-01,,,,
100,MAT66,2019-12-05,2022-07-01,,,,
100,MAT67,2019-12-05,2022-06-30,,,,
100,MAT68,2019-12-05,2022-07-01,,,,
100,MAT69,2019-12-05,2022-07-19,,,,
100,MAT70,2019-12-05,2022-07-19,,,,
100,MAT71,2019-12-05,2022-07-19,,,,
100,MAT72,2019-12-05,2022-07-01,,,,
100,MAT73,2019-12-05,2022-07-01,,,,
100,MAT74,2019-12-05,2022-06-30,,,,
100,MAT75,2019-12-05,2022-07-01,,,,
100,MAT76,2019-12-05,2022-07-19,,,,
100,MAT77,2019-12-05,2022-07-01,,,,
100,MAT78,2019-12-05,2022-07-01,,,,
100,MAT7397,2019-02-27,2022-07-01,,,,
100,MAT7398,2019-02-27,2022-06-02,,,,
100,MAT7399,2019-02-27,2022-06-16,,,,
100,MAT7400,2019-02-27,2022-06-02,,,,
100,MAT7401,2019-02-27,2022-07-01,,,,
100,MAT7402,2019-02-27,2022-06-16,,,,
100,MAT7403,2019-02-27,2022-07-01,,,,
100,MAT7404,2019-02-27,2022-07-01,,,,
100,MAT7405,2019-02-27,2022-06-16,,,,
100,MAT7406,2019-02-27,2022-07-01,,,,
100,MAT7407,2019-02-27,2022-06-14,,,,
100,MAT7408,2019-02-27,2022-06-16,,,,
100,MAT7409,2019-02-27,2022-07-01,,,,
100,MAT7410,2019-02-27,2022-07-01,,,,
100,MAT7411,2019-02-27,2022-06-16,,,,
100,MAT7412,2019-02-27,2022-07-01,,,,
100,MAT7413,2019-02-27,2022-06-16,,,,
100,MAT7414,2019-02-27,2022-06-16,,,,
100,MAT7415,2019-02-27,2022-07-01,,,,
100,MAT7416,2019-02-27,2022-06-16,,,,
100,MAT7417,2019-02-27,2022-07-01,,,,
100,MAT7418,2019-02-27,2022-07-01,,,,
100,MAT7419,2019-02-27,2022-06-16,,,,
100,MAT7420,2019-02-27,2022-06-22,,,,
100,MAT7421,2019-02-27,2022-06-22,,,,
100,MAT7422,2019-02-27,2022-06-22,,,,
100,MAT7423,2019-02-27,2022-06-22,,,,
100,MAT7424,2019-02-27,2022-06-22,,,,
100,MAT7425,2019-02-27,2022-06-22,,,,
100,MAT7426,2019-02-27,2022-07-01,,,,
100,MAT7427,2019-02-27,2022-07-01,,,,
100,MAT7428,2019-02-27,2022-07-01,,,,
100,MAT7429,2019-02-27,2022-07-01,,,,
100,MAT7430,2019-02-27,2022-06-22,,,,
100,MAT7431,2019-02-27,2022-06-28,,,,
100,MAT7432,2019-02-27,2022-06-22,,,,
100,MAT7433,2019-02-27,2022-06-23,,,,
100,MAT7434,2019-02-27,2022-06-16,,,,
100,MAT7435,2019-02-27,2022-06-30,,,,
100,MAT7436,2019-02-27,2022-06-30,,,,
100,MAT7437,2019-02-28,2022-07-01,,,,
100,MAT7438,2019-02-28,2022-07-01,,,,
100,MAT7439,2019-02-28,2022-07-01,,,,
100,MAT7440,2019-02-28,2022-06-16,,,,
100,MAT7441,2019-02-28,2022-07-01,,,,
100,MAT7442,2019-02-28,2022-06-16,,,,
100,MAT7443,2019-02-28,2022-07-01,,,,
100,MAT7444,2019-02-28,2022-06-30,,,,
100,MAT7445,2019-02-28,2022-07-01,,,,
100,MAT7446,2019-02-28,2022-06-16,,,,
100,MAT7447,2019-02-28,2022-06-10,,,,
100,MAT7448,2019-02-28,2022-07-01,,,,
100,MAT7449,2019-02-28,2022-07-01,,,,
100,MAT7450,2019-02-28,2022-07-01,,,,
100,MAT7451,2019-02-28,2022-06-16,,,,
100,MAT7452,2019-02-28,2022-06-16,,,,
100,MAT2501,2019-02-28,2022-07-01,,,,
100,MAT2502,2019-02-28,2022-06-16,,,,
100,MAT2503,2019-02-28,2022-06-16,,,,
100,MAT2504,2019-02-28,2022-07-01,,,,
100,MAT2505,2019-02-28,2022-06-16,,,,
100,MAT2506,2019-02-28,2022-06-16,,,,
100,MAT2507,2019-02-28,2022-07-01,,,,
100,MAT2508,2019-02-28,2022-07-01,,,,
100,MAT2509,2019-02-28,2022-06-14,,,,
100,MAT2510,2019-02-28,2022-06-16,,,,
100,MAT2511,2019-02-28,2022-07-01,,,,
100,MAT2512,2019-02-28,2022-07-01,,,,
100,MAT2513,2019-02-28,2022-06-16,,,,
100,MAT2514,2019-02-28,2022-07-01,,,,
100,MAT2515,2019-02-28,2022-04-01,,,,
100,MAT2516,2019-02-28,2022-06-16,,,,
100,MAT2517,2019-02-28,2022-06-16,,,,
100,MAT2518,2019-02-28,2022-06-16,,,,
100,MAT2519,2019-02-28,2022-06-16,,,,
100,MAT2520,2019-02-28,2022-06-30,,,,
100,MAT2521,2019-02-28,2022-07-01,,,,
100,MAT2522,2019-02-28,2022-07-01,,,,
100,MAT2523,2019-04-24,2022-06-30,,,,
100,MAT2524,2019-05-31,2022-06-30,,,,
100,MAT2525,2019-05-31,2022-01-26,,,,
100,MAT2526,2019-05-31,2022-04-01,,,,
100,MAT2527,2019-05-31,2022-07-01,,,,
100,MAT2528,2019-05-31,2021-08-05,,,,
100,MAT2529,2019-05-31,2022-01-01,,,,
100,MAT2530,2019-05-31,2022-01-01,,,,
100,MAT2531,2019-05-31,2022-07-01,,,,
100,MAT2532,2019-05-31,2022-07-01,,,,
100,MAT2533,2019-05-31,2022-07-01,,,,
100,MAT2534,2019-05-31,2022-07-01,,,,
100,MAT2535,2019-05-31,2022-07-01,,,,
100,MAT2536,2019-05-31,2022-04-04,,,,
100,MAT2537,2019-05-31,2022-06-16,,,,
100,MAT2538,2019-05-31,2022-03-10,,,,
100,MAT2539,2019-05-31,2022-07-01,,,,
100,MAT2540,2019-05-31,2022-01-01,,,,
100,MAT2541,2019-05-31,2022-06-16,,,,
100,MAT2542,2019-05-31,2022-07-01,,,,
100,MAT2543,2019-05-31,2022-07-01,,,,
100,MAT2544,2019-05-31,2022-06-30,,,,
100,MAT2545,2019-05-31,2022-07-01,,,,
100,MAT2546,2019-05-31,2022-07-01,,,,
100,MAT2547,2019-05-31,2022-07-01,,,,
100,MAT2548,2019-05-31,2022-07-01,,,,
100,MAT2549,2019-05-31,2022-05-27,,,,
100,MAT2550,2019-05-31,2022-07-01,,,,
100,MAT2551,2019-05-31,2022-07-01,,,,
100,MAT2552,2019-05-31,2022-07-01,,,,
100,MAT2553,2019-05-31,2022-07-01,,,,
100,MAT2554,2019-05-31,2022-06-30,,,,
100,MAT2555,2019-05-31,2022-07-01,,,,
100,MAT2556,2019-05-31,2021-10-01,,,,
100,MAT2557,2019-05-31,2022-07-01,,,,
100,MAT2558,2019-05-31,2022-01-06,,,,
100,MAT2559,2019-05-31,2022-06-30,,,,
100,MAT2560,2019-05-31,2022-05-27,,,,
100,MAT2561,2019-05-31,2022-06-16,,,,
100,MAT2562,2019-05-31,2022-07-01,,,,
100,MAT2563,2019-05-31,2022-07-01,,,,
100,MAT2564,2019-05-31,2022-05-27,,,,
100,MAT2565,2019-05-31,2022-07-01,,,,
100,MAT2566,2019-05-31,2022-06-03,,,,
100,MAT2567,2019-05-31,2022-04-04,,,,
100,MAT2568,2019-05-31,2022-07-01,,,,
100,MAT2569,2019-05-31,2022-07-01,,,,
100,MAT7457,2019-12-04,2022-06-03,,,,
100,MAT7458,2019-12-04,2022-06-20,,,,
100,MAT7459,2019-12-04,2021-12-31,,,,
100,MAT7460,2019-12-04,2022-06-03,,,,
100,MAT7461,2019-12-04,2022-06-03,,,,
100,MAT7462,2019-12-04,2022-06-03,,,,
100,MAT7463,2019-12-04,2021-12-31,,,,
100,MAT7464,2019-12-04,2021-12-31,,,,
100,MAT7465,2019-12-04,2022-06-03,,,,
100,MAT7466,2019-12-04,2021-10-01,,,,
100,MAT7467,2019-12-04,2021-09-16,,,,
100,MAT7468,2019-12-04,2021-10-01,,,,
100,MAT7469,2019-12-04,2021-10-01,,,,
100,MAT7470,2019-12-04,2021-09-16,,,,
100,MAT7471,2019-12-04,2022-01-12,,,,
100,MAT7472,2019-12-04,2021-12-31,,,,
100,MAT7473,2019-12-04,2022-06-03,,,,
100,MAT7474,2019-12-04,2022-04-01,,,,
100,MAT7475,2019-12-04,2021-10-01,,,,
100,MAT7476,2019-12-04,2021-09-16,,,,
100,MAT7477,2019-12-04,2022-06-03,,,,
100,MAT7478,2019-12-04,2021-09-16,,,,
100,MAT7479,2019-12-04,2021-10-01,,,,
100,MAT7480,2019-12-04,2022-06-30,,,,
100,MAT7481,2019-12-04,2021-12-31,,,,
100,MAT7482,2019-12-04,2022-06-03,,,,
100,MAT7483,2019-12-04,2022-06-02,,,,
100,MAT7484,2019-12-04,2022-07-20,,,,
100,MAT7485,2019-12-04,2022-06-30,,,,
100,MAT7486,2019-12-04,2022-07-01,,,,
100,MAT7487,2019-12-05,2022-06-28,,,,
100,MAT7488,2020-02-17,2022-06-30,,,,
100,MAT7489,2021-03-31,2022-06-29,,,,
100,MAT7490,2021-07-16,2022-06-22,,,,
100,MAT7491,2021-07-20,2022-07-20,,,,
100,MAT7492,2021-07-20,2022-07-20,,,,
100,MAT7493,2021-08-17,2022-07-20,,,,
100,MAT7494,2021-11-17,2022-06-07,,,,
100,MAT7495,2018-11-29,2021-11-24,,,,
100,MAT7496,2018-11-30,2021-04-27,,,,
100,MAT7497,2018-11-30,2022-05-10,,,,
100,MAT7498,2018-11-30,2021-07-14,,,,
100,MAT7499,2018-11-28,2021-10-27,,,,
100,MAT7500,2018-11-28,2022-02-15,,,,
100,MAT7501,2018-11-28,2022-03-02,,,,
100,MAT7502,2018-11-28,2021-10-27,,,,
100,MAT7503,2018-11-28,2021-10-27,,,,
100,MAT7504,2018-11-28,2022-06-17,,,,
100,MAT7505,2018-11-29,2022-02-09,,,,
100,MAT7506,2018-11-29,2021-10-27,,,,
100,MAT7507,2018-11-28,2021-10-27,,,,
100,MAT7508,2018-11-28,2021-10-27,,,,
100,MAT7509,2018-11-28,2021-10-27,,,,
100,MAT7510,2018-11-28,2021-10-27,,,,
100,MAT7511,2018-11-30,2021-10-27,,,,
100,MAT7512,2018-11-29,2021-10-27,,,,
100,MAT7513,2018-11-28,2021-10-27,,,,
100,MAT7514,2018-11-29,2022-06-16,,,,
100,MAT7515,2018-11-30,2021-10-27,,,,
100,MAT7516,2018-11-30,2021-12-01,,,,
100,MAT7517,2018-11-30,2021-10-27,,,,
100,MAT7518,2018-11-28,2021-10-27,,,,
100,MAT7519,2018-11-28,2021-10-27,,,,
100,MAT7520,2018-11-30,2021-10-27,,,,
100,MAT7521,2018-11-28,2021-10-27,,,,
100,MAT7522,2018-11-28,2021-10-27,,,,
100,MAT7523,2018-11-28,2021-10-27,,,,
100,MAT7524,2018-11-28,2021-10-27,,,,
100,MAT7525,2018-11-28,2021-10-28,,,,
100,MAT7526,2018-11-28,2021-10-27,,,,
100,MAT7527,2018-11-28,2021-10-27,,,,
100,MAT7528,2018-11-28,2021-10-27,,,,
100,MAT7529,2018-11-28,2021-10-27,,,,
100,MAT7530,2018-11-30,2022-06-16,,,,
100,MAT7531,2018-11-29,2021-12-15,,,,
100,MAT7532,2018-11-29,2021-12-15,,,,
100,MAT7533,2018-11-29,2021-04-27,,,,
100,MAT7534,2018-11-28,2021-10-27,,,,
100,MAT7535,2018-11-28,2021-10-27,,,,
100,MAT7536,2018-11-28,2021-10-27,,,,
100,MAT7537,2018-11-28,2021-10-27,,,,
100,MAT7538,2018-11-28,2021-10-27,,,,
100,MAT7539,2018-11-30,2021-04-27,,,,
100,MAT7540,2018-11-28,2021-10-27,,,,
100,MAT7541,2018-11-30,2021-04-27,,,,
100,MAT7542,2018-11-28,2021-10-27,,,,
100,MAT7543,2018-11-29,2021-03-01,,,,
100,MAT7544,2018-11-29,2021-04-27,,,,
100,MAT7545,2018-11-28,2021-10-27,,,,
100,MAT7546,2018-11-30,2021-04-27,,,,
100,MAT7547,2018-11-28,2021-10-27,,,,
100,MAT356,2018-11-28,2022-05-09,,,,
100,MAT357,2018-11-28,2021-08-04,,,,
100,MAT358,2018-11-30,2021-08-04,,,,
100,MAT359,2018-11-30,2022-03-02,,,,
100,MAT360,2018-11-28,2021-08-04,,,,
100,MAT361,2018-11-28,2021-12-01,,,,
100,MAT362,2018-11-28,2021-08-04,,,,
100,MAT363,2018-11-28,2021-04-27,,,,
100,MAT364,2018-11-28,2022-05-10,,,,
100,MAT365,2018-11-28,2021-04-27,,,,
100,MAT366,2018-11-30,2022-05-02,,,,
100,MAT367,2018-11-28,2021-04-27,,,,
100,MAT368,2018-11-30,2021-12-01,,,,
100,MAT369,2018-11-30,2021-12-14,,,,
100,MAT370,2018-11-28,2021-08-04,,,,
100,MAT371,2018-11-29,2022-02-11,,,,
100,MAT372,2018-11-29,2021-10-12,,,,
100,MAT373,2018-11-29,2021-04-27,,,,
100,MAT374,2018-11-30,2022-04-11,,,,
100,MAT375,2018-11-29,2021-07-14,,,,
100,MAT376,2018-11-29,2022-05-31,,,,
100,MAT377,2018-11-29,2021-12-14,,,,
100,MAT378,2018-11-30,2021-08-10,,,,
100,MAT379,2018-11-29,2022-04-11,,,,
100,MAT380,2018-11-29,2021-04-27,,,,
100,MAT381,2018-11-29,2021-04-27,,,,
100,MAT382,2018-11-29,2021-04-27,,,,
100,MAT383,2018-11-30,2021-04-27,,,,
100,MAT384,2018-11-29,2021-04-27,,,,
100,MAT385,2018-11-29,2022-02-01,,,,
100,MAT386,2018-11-29,2021-04-27,,,,
100,MAT387,2018-11-29,2021-10-26,,,,
100,MAT388,2018-11-30,2021-04-27,,,,
100,MAT389,2018-11-29,2021-08-23,,,,
100,MAT390,2018-11-29,2021-12-01,,,,
100,MAT391,2018-11-29,2021-12-16,,,,
100,MAT392,2018-11-29,2021-12-16,,,,
100,MAT393,2018-11-29,2022-01-18,,,,
100,MAT394,2018-11-30,2021-12-16,,,,
100,MAT395,2018-11-29,2021-12-16,,,,
100,MAT396,2018-11-30,2022-06-01,,,,
100,MAT397,2018-11-29,2021-04-27,,,,
100,MAT398,2018-11-30,2022-07-15,,,,
100,MAT399,2018-11-30,2021-12-16,,,,
100,MAT400,2018-11-30,2021-12-16,,,,
100,MAT401,2018-11-30,2021-04-27,,,,
100,MAT402,2018-11-29,2022-03-22,,,,
100,MAT403,2018-11-29,2021-10-27,,,,
100,MAT404,2018-11-30,2021-04-27,,,,
100,MAT405,2018-11-29,2021-04-27,,,,
100,MAT406,2018-11-30,2021-04-27,,,,
100,MAT407,2018-11-29,2021-04-27,,,,
100,MAT408,2018-11-29,2022-02-25,,,,
100,MAT409,2018-11-29,2021-04-27,,,,
100,MAT410,2018-11-29,2021-04-27,,,,
100,MAT411,2018-11-29,2021-04-27,,,,
100,MAT412,2018-11-30,2021-07-06,,,,
100,MAT413,2018-11-30,2021-04-27,,,,
100,MAT414,2018-11-30,2022-06-03,,,,
100,MAT415,2018-11-30,2022-03-02,,,,
100,MAT416,2018-11-30,2022-07-19,,,,
100,MAT417,2018-11-30,2022-05-10,,,,
100,MAT418,2018-11-29,2021-04-27,,,,
100,MAT419,2018-11-29,2022-06-17,,,,
100,MAT420,2018-11-29,2022-06-22,,,,
100,MAT421,2018-11-30,2022-03-02,,,,
100,MAT422,2018-11-29,2022-06-22,,,,
100,MAT423,2018-11-29,2022-05-10,,,,
100,MAT424,2018-11-29,2021-04-27,,,,
100,MAT425,2018-11-29,2021-04-27,,,,
100,MAT426,2018-11-29,2022-03-25,,,,
100,MAT427,2018-11-30,2022-04-22,,,,
100,MAT428,2018-11-29,2022-01-20,,,,
100,MAT429,2018-11-29,2022-03-25,,,,
100,MAT430,2018-11-29,2022-01-20,,,,
100,MAT431,2018-11-29,2022-06-27,,,,
100,MAT432,2018-11-29,2022-03-25,,,,
100,MAT433,2018-11-30,2022-03-25,,,,
100,MAT434,2018-11-29,2022-02-16,,,,
100,MAT435,2018-11-30,2022-03-25,,,,
100,MAT436,2018-11-29,2022-01-14,,,,
100,MAT437,2018-11-30,2021-04-27,,,,
100,MAT438,2018-11-29,2021-12-16,,,,
100,MAT439,2018-11-30,2022-06-20,,,,
100,MAT440,2018-11-29,2022-01-06,,,,
100,MAT441,2018-11-30,2021-04-27,,,,
100,MAT442,2018-11-30,2021-04-27,,,,
100,MAT443,2018-11-30,2021-04-27,,,,
100,MAT444,2018-11-30,2021-04-27,,,,
100,MAT445,2018-11-30,2021-04-27,,,,
100,MAT446,2018-11-30,2021-04-27,,,,
100,MAT447,2018-11-30,2021-04-27,,,,
100,MAT448,2018-11-30,2021-04-27,,,,
100,MAT449,2018-11-29,2021-04-27,,,,
100,MAT450,2018-11-29,2021-04-27,,,,
100,MAT451,2018-11-29,2021-04-27,,,,
100,MAT452,2018-11-29,2021-04-27,,,,
100,MAT453,2018-11-29,2021-04-27,,,,
100,MAT454,2018-11-29,2022-06-10,,,,
100,MAT7551,2018-11-30,2022-05-18,,,,
100,MAT7552,2018-11-30,2021-04-27,,,,
100,MAT7553,2018-11-29,2021-04-27,,,,
100,MAT7554,2018-11-29,2021-04-27,,,,
100,MAT7555,2018-11-30,2021-04-27,,,,
100,MAT7556,2018-11-30,2021-04-27,,,,
100,MAT7557,2018-11-30,2022-05-10,,,,
100,MAT5398,2018-11-28,2021-10-27,,,,
100,MAT5399,2018-11-28,2021-10-27,,,,
100,MAT5400,2018-11-28,2021-11-09,,,,
100,MAT5401,2018-11-28,2021-10-27,,,,
100,MAT5402,2018-11-30,2021-10-27,,,,
100,MAT5403,2018-11-30,2021-10-27,,,,
100,MAT5404,2018-11-30,2021-10-27,,,,
100,MAT5405,2018-11-30,2022-03-07,,,,
100,MAT5406,2018-11-30,2022-03-23,,,,
100,MAT5407,2018-11-30,2021-12-08,,,,
100,MAT5408,2018-11-28,2022-06-17,,,,
100,MAT5409,2018-11-30,2022-02-02,,,,
100,MAT5410,2018-11-28,2021-10-28,,,,
100,MAT5411,2018-11-28,2021-10-28,,,,
100,MAT5412,2018-11-28,2021-10-28,,,,
100,MAT5413,2018-11-30,2021-10-27,,,,
100,MAT5414,2018-11-30,2021-11-16,,,,
100,MAT5415,2018-11-30,2021-10-28,,,,
100,MAT5416,2018-11-30,2021-10-28,,,,
100,MAT5417,2018-11-28,2022-03-16,,,,
100,MAT5418,2018-11-30,2021-10-27,,,,
100,MAT5419,2018-11-30,2022-04-21,,,,
100,MAT5420,2018-11-30,2022-06-23,,,,
100,MAT5421,2018-11-28,2021-10-27,,,,
100,MAT5422,2018-11-30,2022-07-02,,,,
100,MAT5423,2018-11-28,2021-08-04,,,,
100,MAT5424,2018-11-28,2020-11-05,,,,
100,MAT5425,2018-11-28,2021-10-27,,,,
100,MAT5426,2018-11-28,2021-12-30,,,,
100,MAT5427,2018-11-30,2022-04-26,,,,
100,MAT5428,2018-11-30,2021-10-13,,,,
100,MAT5429,2018-11-30,2022-06-10,,,,
100,MAT5430,2018-11-28,2021-10-28,,,,
100,MAT5431,2018-11-30,2021-10-27,,,,
100,MAT5432,2018-11-28,2020-03-26,,,,
100,MAT5433,2018-11-30,2021-10-28,,,,
100,MAT5434,2018-11-30,2021-10-28,,,,
100,MAT5435,2018-11-30,2021-10-28,,,,
100,MAT5436,2018-11-30,2021-08-04,,,,
100,MAT5437,2018-11-30,2021-09-15,,,,
100,MAT5438,2018-11-28,2021-08-04,,,,
100,MAT5439,2018-11-29,2020-11-11,,,,
100,MAT5440,2018-11-29,2020-03-26,,,,
100,MAT5441,2018-11-30,2022-01-07,,,,
100,MAT5442,2018-11-30,2021-10-28,,,,
100,MAT5443,2018-11-30,2022-06-17,,,,
100,MAT5444,2018-11-28,2022-02-17,,,,
100,MAT5445,2018-11-30,2022-05-10,,,,
100,MAT5446,2018-11-28,2021-10-28,,,,
100,MAT5447,2018-11-28,2022-07-18,,,,
100,MAT5448,2018-11-28,2021-10-27,,,,
100,MAT5449,2018-11-28,2022-07-13,,,,
100,MAT5450,2018-11-30,2021-06-26,,,,
100,MAT5451,2018-11-28,2021-10-28,,,,
100,MAT5452,2018-11-30,2021-10-28,,,,
100,MAT5453,2018-11-30,2021-10-28,,,,
100,MAT455,2018-11-28,2021-12-23,,,,
100,MAT456,2018-11-28,2021-10-28,,,,
100,MAT457,2018-11-28,2022-01-19,,,,
100,MAT458,2018-11-28,2021-07-01,,,,
100,MAT459,2018-11-28,2020-08-27,,,,
100,MAT460,2018-11-28,2021-10-28,,,,
100,MAT461,2018-11-30,2021-10-28,,,,
100,MAT462,2018-11-30,2021-08-04,,,,
100,MAT463,2018-11-28,2022-05-10,,,,
100,MAT464,2018-11-28,2022-05-10,,,,
100,MAT465,2018-11-30,2021-10-11,,,,
100,MAT466,2018-11-30,2021-10-11,,,,
100,MAT467,2018-11-30,2021-10-28,,,,
100,MAT468,2018-11-30,2021-10-28,,,,
100,MAT469,2018-11-30,2021-10-28,,,,
100,MAT470,2018-11-28,2021-07-09,,,,
100,MAT471,2018-11-28,2021-10-28,,,,
100,MAT472,2018-11-28,2021-10-28,,,,
100,MAT473,2018-11-30,2021-12-14,,,,
100,MAT474,2018-11-30,2021-10-28,,,,
100,MAT475,2018-11-28,2021-10-28,,,,
100,MAT476,2018-11-28,2021-12-16,,,,
100,MAT477,2018-11-30,2021-12-01,,,,
100,MAT478,2018-11-28,2021-10-28,,,,
100,MAT479,2018-11-30,2022-06-30,,,,
100,MAT480,2018-11-30,2021-10-28,,,,
100,MAT481,2018-11-28,2022-01-24,,,,
100,MAT482,2018-11-30,2021-10-28,,,,
100,MAT483,2018-11-30,2022-03-01,,,,
100,MAT484,2018-11-29,2021-10-28,,,,
100,MAT485,2018-11-30,2021-07-02,,,,
100,MAT486,2018-11-30,2022-01-21,,,,
100,MAT487,2018-11-29,2021-07-07,,,,
100,MAT488,2018-11-30,2022-05-12,,,,
100,MAT489,2018-11-29,2022-04-11,,,,
100,MAT490,2018-11-29,2022-03-25,,,,
100,MAT491,2018-11-28,2022-02-04,,,,
100,MAT492,2018-11-29,2022-02-14,,,,
100,MAT493,2018-11-29,2021-10-28,,,,
100,MAT494,2018-11-29,2021-10-27,,,,
100,MAT495,2018-11-29,2021-08-04,,,,
100,MAT496,2018-11-29,2021-08-04,,,,
100,MAT497,2018-11-29,2021-10-28,,,,
100,MAT498,2018-11-30,2021-10-28,,,,
100,MAT499,2018-11-30,2022-03-04,,,,
100,MAT500,2018-11-30,2021-10-28,,,,
100,MAT501,2018-11-29,2022-06-09,,,,
100,MAT502,2018-11-29,2021-12-14,,,,
100,MAT503,2018-11-30,2021-10-28,,,,
100,MAT504,2018-11-29,2021-10-28,,,,
100,MAT505,2018-11-30,2021-10-11,,,,
