Client,Purchasing Document Number,Item Number of Purchasing Document,Confirmation Category,Sequential Number of Vendor Confirmation,Delivery Date of Vendor Confirmation,Creation Date of Confirmation,Time at Which Vendor Confirmation was Created
100,4000000085,10,Confirmation Category1,244,2022-02-10,2022-03-11,1970-01-01 07:27:42
100,4000000085,10,Confirmation Category1,245,2022-02-10,2022-03-11,1970-01-01 07:28:27
100,4000000085,10,Confirmation Category1,246,2022-02-10,2022-03-11,1970-01-01 07:28:27
100,4000000085,10,Confirmation Category1,247,2022-02-10,2022-03-11,1970-01-01 07:28:27
100,4000000085,10,Confirmation Category1,248,2022-02-10,2022-03-11,1970-01-01 07:28:27
100,4000000085,10,Confirmation Category1,249,2022-02-10,2022-03-11,1970-01-01 07:28:27
100,4000000085,10,Confirmation Category1,250,2022-02-10,2022-03-11,1970-01-01 07:28:27
100,4000000085,10,Confirmation Category1,251,2022-02-10,2022-03-11,1970-01-01 07:28:27
100,4000000085,10,Confirmation Category1,252,2022-02-10,2022-03-11,1970-01-01 07:28:27
100,4000000085,10,Confirmation Category1,253,2022-02-10,2022-03-11,1970-01-01 07:28:27
100,4000000085,10,Confirmation Category1,254,2022-02-10,2022-03-11,1970-01-01 07:28:27
100,4000000085,10,Confirmation Category1,255,2022-02-10,2022-03-11,1970-01-01 07:28:27
100,4000000085,10,Confirmation Category1,256,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,257,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,258,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,259,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,260,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,261,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,262,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,263,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,264,2022-02-10,2022-03-16,1970-01-01 01:47:54
100,4000000085,10,Confirmation Category1,265,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,266,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,267,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,268,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,269,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,270,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,271,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,272,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,273,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,274,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,275,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,276,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,277,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,278,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,279,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,280,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,281,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,282,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,283,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,284,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,285,2022-02-10,2022-03-16,1970-01-01 01:48:56
100,4000000085,10,Confirmation Category1,286,2022-02-10,2022-03-16,1970-01-01 16:18:46
100,4000000085,10,Confirmation Category1,287,2022-02-10,2022-03-16,1970-01-01 16:18:46
100,4000000085,10,Confirmation Category1,288,2022-02-10,2022-03-16,1970-01-01 16:18:46
100,4000000085,10,Confirmation Category1,289,2022-02-10,2022-03-16,1970-01-01 16:18:46
100,4000000085,10,Confirmation Category1,290,2022-02-10,2022-03-16,1970-01-01 16:18:46
100,4000000085,10,Confirmation Category1,291,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,292,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,293,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,294,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,295,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,296,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,297,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,298,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,299,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,300,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,301,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,302,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,303,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,304,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,305,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,306,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,307,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,308,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,309,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,310,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,311,2022-02-10,2022-03-16,1970-01-01 16:19:15
100,4000000085,10,Confirmation Category1,312,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,313,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,314,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,315,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,316,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,317,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,318,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,319,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,320,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,321,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,322,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,323,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,324,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,325,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,326,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,327,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,328,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,329,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,330,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,331,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,332,2022-02-10,2022-03-22,1970-01-01 01:45:27
100,4000000085,10,Confirmation Category1,333,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,334,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,335,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,336,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,337,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,338,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,339,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,340,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,341,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,342,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,343,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,344,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,345,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,346,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,347,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,348,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,349,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,350,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,351,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,352,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,353,2022-02-10,2022-03-22,1970-01-01 01:48:40
100,4000000085,10,Confirmation Category1,354,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,355,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,356,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,357,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,358,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,359,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,360,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,361,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,362,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,363,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,364,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,365,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,366,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,367,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,368,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,369,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,370,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,371,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,372,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,373,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,374,2022-02-10,2022-03-22,1970-01-01 01:49:30
100,4000000085,10,Confirmation Category1,375,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,376,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,377,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,378,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,379,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,380,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,381,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,382,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,383,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,384,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,385,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,386,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,387,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,388,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,389,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,390,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,391,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,392,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,393,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,394,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,395,2022-02-10,2022-03-24,1970-01-01 16:08:32
100,4000000085,10,Confirmation Category1,396,2022-02-10,2022-03-24,1970-01-01 16:11:03
100,4000000085,10,Confirmation Category1,397,2022-02-10,2022-03-24,1970-01-01 16:11:03
100,4000000085,10,Confirmation Category1,398,2022-02-10,2022-03-24,1970-01-01 16:11:03
100,4000000085,10,Confirmation Category1,399,2022-02-10,2022-03-24,1970-01-01 16:11:03
100,4000000085,10,Confirmation Category1,400,2022-02-10,2022-03-24,1970-01-01 16:11:03
100,4000000085,10,Confirmation Category1,401,2022-02-10,2022-03-24,1970-01-01 16:11:03
100,4000000085,10,Confirmation Category1,402,2022-02-10,2022-03-24,1970-01-01 16:11:03
100,4000000085,10,Confirmation Category1,403,2022-02-10,2022-03-24,1970-01-01 16:11:03
100,4000000085,10,Confirmation Category1,404,2022-02-10,2022-03-24,1970-01-01 16:11:03
100,4000000085,10,Confirmation Category1,405,2022-02-10,2022-03-24,1970-01-01 16:11:03
100,4000000085,10,Confirmation Category1,406,2022-02-10,2022-03-24,1970-01-01 16:11:03
100,4000000085,10,Confirmation Category1,407,2022-02-10,2022-03-24,1970-01-01 16:12:24
100,4000000085,10,Confirmation Category1,408,2022-02-10,2022-03-24,1970-01-01 16:12:24
100,4000000085,10,Confirmation Category1,409,2022-02-10,2022-03-24,1970-01-01 16:12:24
100,4000000085,10,Confirmation Category1,410,2022-02-10,2022-03-24,1970-01-01 16:12:24
100,4000000085,10,Confirmation Category1,411,2022-02-10,2022-03-24,1970-01-01 16:12:24
100,4000000085,10,Confirmation Category1,412,2022-02-10,2022-03-24,1970-01-01 16:12:24
100,4000000085,10,Confirmation Category1,413,2022-02-10,2022-03-24,1970-01-01 16:12:24
100,4000000085,10,Confirmation Category1,414,2022-02-10,2022-03-24,1970-01-01 16:12:24
100,4000000085,10,Confirmation Category1,415,2022-02-10,2022-03-24,1970-01-01 16:12:24
100,4000000085,10,Confirmation Category1,416,2022-02-10,2022-03-24,1970-01-01 16:12:24
100,4000000085,10,Confirmation Category1,417,2022-02-10,2022-03-24,1970-01-01 16:12:24
100,4000000085,10,Confirmation Category1,418,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,419,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,420,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,421,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,422,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,423,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,424,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,425,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,426,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,427,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,428,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,429,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,430,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,431,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,432,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,433,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,434,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,435,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,436,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,437,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,438,2022-02-10,2022-03-28,1970-01-01 01:22:28
100,4000000085,10,Confirmation Category1,439,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,440,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,441,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,442,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,443,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,444,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,445,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,446,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,447,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,448,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,449,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,450,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,451,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,452,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,453,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,454,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,455,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,456,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,457,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,458,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,459,2022-02-10,2022-03-28,1970-01-01 01:24:35
100,4000000085,10,Confirmation Category1,460,2022-02-10,2022-03-28,1970-01-01 01:26:15
100,4000000085,10,Confirmation Category1,461,2022-02-10,2022-03-28,1970-01-01 01:26:15
100,4000000085,10,Confirmation Category1,462,2022-02-10,2022-03-28,1970-01-01 01:26:15
100,4000000085,10,Confirmation Category1,463,2022-02-10,2022-03-28,1970-01-01 01:26:15
100,4000000085,10,Confirmation Category1,464,2022-02-10,2022-03-28,1970-01-01 01:26:15
100,4000000085,10,Confirmation Category1,465,2022-02-10,2022-03-28,1970-01-01 01:26:15
100,4000000085,10,Confirmation Category1,466,2022-02-10,2022-03-28,1970-01-01 01:26:15
100,4000000085,10,Confirmation Category1,467,2022-02-10,2022-03-28,1970-01-01 01:26:15
100,4000000085,10,Confirmation Category1,468,2022-02-10,2022-03-28,1970-01-01 01:26:15
100,4000000085,10,Confirmation Category1,469,2022-02-10,2022-03-28,1970-01-01 01:26:15
100,4000000085,10,Confirmation Category1,470,2022-02-10,2022-03-28,1970-01-01 01:26:15
100,4000000085,10,Confirmation Category1,471,2022-02-10,2022-03-28,1970-01-01 01:26:15
