Client,Account Number of Vendor or Creditor,Company Code,Key date of the last interest calculation,Validity Date for Withholding Tax Exemption Certificate,Certification date,Date on which the Record Was Created,Date of the last interest calculation run
100,Vendor1356,CompanyCode1,,,,2019-02-27,
100,Vendor1356,CompanyCode2,,,,2020-11-23,
100,Vendor1357,CompanyCode1,,,,2019-02-27,
100,Vendor1358,CompanyCode1,,,,2019-02-27,
100,Vendor1358,CompanyCode2,,,,2020-11-23,
100,Vendor1359,CompanyCode1,,,,2019-02-27,
100,Vendor1360,CompanyCode1,,,,2019-02-27,
100,Vendor1360,CompanyCode2,,,,2020-11-23,
100,Vendor1361,CompanyCode1,,,,2019-02-27,
100,Vendor1361,CompanyCode2,,,,2020-11-23,
100,Vendor1362,CompanyCode1,,,,2019-02-27,
100,Vendor1362,CompanyCode2,,,,2020-11-23,
100,Vendor1363,CompanyCode2,,,,2020-11-23,
100,Vendor1364,CompanyCode2,,,,2020-11-23,
100,Vendor1365,CompanyCode1,,,,2019-02-27,
100,Vendor1365,CompanyCode2,,,,2020-11-23,
100,Vendor1366,CompanyCode1,,,,2019-02-27,
100,Vendor1366,CompanyCode2,,,,2020-11-23,
100,Vendor1367,CompanyCode1,,,,2019-02-27,
100,Vendor1368,CompanyCode1,,,,2019-02-27,
100,Vendor1368,CompanyCode2,,,,2020-11-23,
100,Vendor1369,CompanyCode1,,,,2019-02-27,
100,Vendor1369,CompanyCode2,,,,2020-11-23,
100,Vendor1370,CompanyCode1,,,,2019-02-27,
100,Vendor1371,CompanyCode1,,,,2019-02-27,
100,Vendor1372,CompanyCode14,,,,2019-02-27,
100,Vendor1373,CompanyCode14,,,,2019-02-27,
100,Vendor1374,CompanyCode14,,,,2019-02-27,
100,Vendor3500,CompanyCode4,,,,2019-02-27,
100,Vendor3501,CompanyCode4,,,,2019-02-27,
100,Vendor3502,CompanyCode4,,,,2019-02-27,
100,Vendor3503,CompanyCode4,,,,2019-02-27,
100,Vendor3504,CompanyCode4,,,,2019-02-27,
100,Vendor3505,CompanyCode4,,,,2019-02-27,
100,Vendor3506,CompanyCode4,,,,2019-02-27,
100,Vendor3507,CompanyCode4,,,,2019-02-27,
100,Vendor3508,CompanyCode4,,,,2019-02-27,
100,Vendor3509,CompanyCode4,,,,2019-02-27,
100,Vendor3510,CompanyCode4,,,,2019-02-27,
100,Vendor3511,CompanyCode4,,,,2019-02-27,
100,Vendor3512,CompanyCode4,,,,2019-02-27,
100,Vendor3513,CompanyCode4,,,,2019-02-27,
100,Vendor3514,CompanyCode4,,,,2019-02-27,
100,Vendor3515,CompanyCode4,,,,2019-02-27,
100,Vendor3516,CompanyCode4,,,,2019-02-27,
100,Vendor3517,CompanyCode4,,,,2019-02-27,
100,Vendor3518,CompanyCode4,,,,2019-02-27,
100,Vendor3519,CompanyCode4,,,,2019-02-27,
100,Vendor3520,CompanyCode4,,,,2019-02-27,
100,Vendor3521,CompanyCode4,,,,2019-02-27,
100,Vendor3522,CompanyCode4,,,,2019-02-27,
100,Vendor3523,CompanyCode4,,,,2019-02-27,
100,Vendor3524,CompanyCode4,,,,2019-02-27,
100,Vendor3525,CompanyCode4,,,,2019-02-27,
100,Vendor3526,CompanyCode4,,,,2019-02-27,
100,Vendor3527,CompanyCode4,,,,2019-02-27,
100,Vendor2496,CompanyCode4,,,,2019-02-27,
100,Vendor2497,CompanyCode4,,,,2019-02-27,
100,Vendor2498,CompanyCode4,,,,2019-02-27,
100,Vendor2499,CompanyCode4,,,,2019-02-27,
100,Vendor2500,CompanyCode4,,,,2019-02-27,
100,Vendor2501,CompanyCode4,,,,2019-02-27,
100,Vendor2502,CompanyCode4,,,,2019-02-27,
100,Vendor2503,CompanyCode4,,,,2019-02-27,
100,Vendor2504,CompanyCode4,,,,2019-02-27,
100,Vendor2505,CompanyCode4,,,,2019-02-27,
100,Vendor2506,CompanyCode4,,,,2019-02-27,
100,Vendor2507,CompanyCode4,,,,2019-02-27,
100,Vendor2507,CompanyCode5,,,,2019-02-27,
100,Vendor2508,CompanyCode4,,,,2019-02-27,
100,Vendor2509,CompanyCode4,,,,2019-02-27,
100,Vendor2510,CompanyCode4,,,,2019-02-27,
100,Vendor2511,CompanyCode4,,,,2019-02-27,
100,Vendor2512,CompanyCode4,,,,2019-02-27,
100,Vendor2513,CompanyCode4,,,,2019-02-27,
100,Vendor2514,CompanyCode4,,,,2019-02-27,
100,Vendor2515,CompanyCode4,,,,2019-02-27,
100,Vendor2516,CompanyCode4,,,,2019-02-27,
100,Vendor2517,CompanyCode4,,,,2019-02-27,
100,Vendor303,CompanyCode14,,,,2019-02-27,
100,Vendor304,CompanyCode14,,,,2019-02-27,
100,Vendor305,CompanyCode14,,,,2019-02-27,
100,Vendor306,CompanyCode14,,,,2019-02-27,
100,Vendor307,CompanyCode14,,,,2019-02-27,
100,Vendor308,CompanyCode14,,,,2019-02-27,
100,Vendor309,CompanyCode14,,,,2019-02-27,
100,Vendor310,CompanyCode14,,,,2019-02-27,
100,Vendor311,CompanyCode14,,,,2019-02-27,
100,Vendor312,CompanyCode14,,,,2019-02-27,
100,Vendor313,CompanyCode14,,,,2019-02-27,
100,Vendor314,CompanyCode14,,,,2019-02-27,
100,Vendor315,CompanyCode14,,,,2019-02-27,
100,Vendor316,CompanyCode14,,,,2019-02-27,
100,Vendor317,CompanyCode14,,,,2019-02-27,
100,Vendor318,CompanyCode14,,,,2019-02-27,
100,Vendor319,CompanyCode14,,,,2019-02-27,
100,Vendor320,CompanyCode18,,,,2019-05-30,
100,Vendor321,CompanyCode14,,,,2019-02-27,
100,Vendor322,CompanyCode14,,,,2019-02-27,
100,Vendor323,CompanyCode14,,,,2019-02-27,
100,Vendor324,CompanyCode14,,,,2019-02-27,
100,Vendor325,CompanyCode14,,,,2019-02-27,
100,Vendor326,CompanyCode14,,,,2019-02-27,
100,Vendor327,CompanyCode14,,,,2019-02-27,
100,Vendor328,CompanyCode14,,,,2019-02-27,
100,Vendor329,CompanyCode14,,,,2019-02-27,
100,Vendor330,CompanyCode18,,,,2019-05-30,
100,Vendor331,CompanyCode14,,,,2019-02-27,
100,Vendor332,CompanyCode14,,,,2019-02-27,
100,Vendor333,CompanyCode14,,,,2019-02-27,
100,Vendor334,CompanyCode14,,,,2019-02-27,
100,Vendor335,CompanyCode14,,,,2019-02-27,
100,Vendor336,CompanyCode14,,,,2019-02-27,
100,Vendor337,CompanyCode14,,,,2019-02-27,
100,Vendor338,CompanyCode14,,,,2019-02-27,
100,Vendor339,CompanyCode14,,,,2019-02-27,
100,Vendor340,CompanyCode14,,,,2019-02-27,
100,Vendor341,CompanyCode14,,,,2019-02-27,
100,Vendor342,CompanyCode14,,,,2019-02-27,
100,Vendor343,CompanyCode14,,,,2019-02-27,
100,Vendor344,CompanyCode14,,,,2019-02-27,
100,Vendor345,CompanyCode14,,,,2019-02-27,
100,Vendor346,CompanyCode14,,,,2019-02-27,
100,Vendor347,CompanyCode14,,,,2019-02-27,
100,Vendor348,CompanyCode14,,,,2019-02-27,
100,Vendor349,CompanyCode14,,,,2019-02-27,
100,Vendor349,CompanyCode19,,,,2019-02-27,
100,Vendor350,CompanyCode14,,,,2019-02-27,
100,Vendor351,CompanyCode14,,,,2019-02-27,
100,Vendor352,CompanyCode14,,,,2019-02-27,
100,Vendor353,CompanyCode14,,,,2019-02-27,
100,Vendor354,CompanyCode14,,,,2019-02-27,
100,Vendor355,CompanyCode14,,,,2019-02-27,
100,Vendor356,CompanyCode14,,,,2019-02-27,
100,Vendor357,CompanyCode14,,,,2019-02-27,
100,Vendor358,CompanyCode14,,,,2019-02-27,
100,Vendor359,CompanyCode14,,,,2019-02-27,
100,Vendor360,CompanyCode14,,,,2019-02-27,
100,Vendor361,CompanyCode14,,,,2019-02-27,
100,Vendor362,CompanyCode14,,,,2019-02-27,
100,Vendor363,CompanyCode14,,,,2019-02-27,
100,Vendor363,CompanyCode18,,,,2019-10-09,
100,Vendor364,CompanyCode14,,,,2019-02-27,
100,Vendor364,CompanyCode19,,,,2019-03-28,
100,Vendor365,CompanyCode14,,,,2019-02-27,
100,Vendor366,CompanyCode14,,,,2019-02-27,
100,Vendor367,CompanyCode14,,,,2019-02-27,
100,Vendor368,CompanyCode14,,,,2019-02-27,
100,Vendor369,CompanyCode14,,,,2019-02-27,
100,Vendor370,CompanyCode14,,,,2019-02-27,
100,Vendor371,CompanyCode14,,,,2019-02-27,
100,Vendor372,CompanyCode14,,,,2019-02-27,
100,Vendor373,CompanyCode14,,,,2019-02-27,
100,Vendor374,CompanyCode14,,,,2019-02-27,
100,Vendor375,CompanyCode14,,,,2019-02-27,
100,Vendor376,CompanyCode14,,,,2019-02-27,
100,Vendor377,CompanyCode14,,,,2019-02-27,
100,Vendor378,CompanyCode14,,,,2019-02-27,
100,Vendor379,CompanyCode14,,,,2019-02-27,
100,Vendor380,CompanyCode14,,,,2019-02-27,
100,Vendor381,CompanyCode14,,,,2019-02-27,
100,Vendor382,CompanyCode14,,,,2019-02-27,
100,Vendor383,CompanyCode14,,,,2019-02-27,
100,Vendor384,CompanyCode14,,,,2019-02-27,
100,Vendor385,CompanyCode14,,,,2019-02-27,
100,Vendor386,CompanyCode14,,,,2019-02-27,
100,Vendor387,CompanyCode14,,,,2019-02-27,
100,Vendor388,CompanyCode14,,,,2019-02-27,
100,Vendor389,CompanyCode14,,,,2019-02-27,
100,Vendor390,CompanyCode14,,,,2019-02-27,
100,Vendor391,CompanyCode14,,,,2019-02-27,
100,Vendor392,CompanyCode14,,,,2019-02-27,
100,Vendor393,CompanyCode14,,,,2019-02-27,
100,Vendor394,CompanyCode14,,,,2019-02-27,
100,Vendor395,CompanyCode14,,,,2019-02-27,
100,Vendor396,CompanyCode14,,,,2019-02-27,
100,Vendor397,CompanyCode14,,,,2019-02-27,
100,Vendor398,CompanyCode14,,,,2019-02-27,
100,Vendor399,CompanyCode14,,,,2019-02-27,
100,Vendor400,CompanyCode14,,,,2019-02-27,
100,Vendor401,CompanyCode14,,,,2019-02-27,
100,Vendor402,CompanyCode14,,,,2019-02-27,
100,Vendor403,CompanyCode14,,,,2019-02-27,
100,Vendor404,CompanyCode14,,,,2019-02-27,
100,Vendor405,CompanyCode18,,,,2020-11-09,
100,Vendor406,CompanyCode14,,,,2019-02-27,
100,Vendor407,CompanyCode14,,,,2019-02-27,
100,Vendor408,CompanyCode14,,,,2019-02-27,
100,Vendor409,CompanyCode14,,,,2019-02-27,
100,Vendor410,CompanyCode14,,,,2019-02-27,
100,Vendor411,CompanyCode14,,,,2019-02-27,
100,Vendor412,CompanyCode14,,,,2019-02-27,
100,Vendor413,CompanyCode14,,,,2019-02-27,
100,Vendor414,CompanyCode14,,,,2019-02-27,
100,Vendor415,CompanyCode14,,,,2019-02-27,
100,Vendor416,CompanyCode14,,,,2019-02-27,
100,Vendor417,CompanyCode14,,,,2019-02-27,
100,Vendor418,CompanyCode14,,,,2019-02-27,
100,Vendor419,CompanyCode14,,,,2019-02-27,
100,Vendor420,CompanyCode14,,,,2019-02-27,
100,Vendor421,CompanyCode14,,,,2019-02-27,
100,Vendor422,CompanyCode14,,,,2019-02-27,
100,Vendor423,CompanyCode14,,,,2019-02-27,
100,Vendor424,CompanyCode14,,,,2019-02-27,
100,Vendor425,CompanyCode14,,,,2019-02-27,
100,Vendor426,CompanyCode14,,,,2019-02-27,
100,Vendor427,CompanyCode14,,,,2019-02-27,
100,Vendor428,CompanyCode14,,,,2019-02-27,
100,Vendor429,CompanyCode14,,,,2019-02-27,
100,Vendor430,CompanyCode14,,,,2019-02-27,
100,Vendor431,CompanyCode14,,,,2019-02-27,
100,Vendor432,CompanyCode14,,,,2019-02-27,
100,Vendor433,CompanyCode14,,,,2019-02-27,
100,Vendor434,CompanyCode14,,,,2019-02-27,
100,Vendor435,CompanyCode14,,,,2019-02-27,
100,Vendor3555,CompanyCode14,,,,2019-02-27,
100,Vendor3556,CompanyCode14,,,,2019-02-27,
100,Vendor3557,CompanyCode14,,,,2019-02-27,
100,Vendor3557,CompanyCode21,,,,2022-02-22,
100,Vendor3558,CompanyCode14,,,,2019-02-27,
100,Vendor3559,CompanyCode14,,,,2019-02-27,
100,Vendor3560,CompanyCode14,,,,2019-02-27,
100,Vendor3561,CompanyCode14,,,,2019-02-27,
100,Vendor3562,CompanyCode14,,,,2019-02-27,
100,Vendor3563,CompanyCode14,,,,2019-02-27,
100,Vendor3564,CompanyCode14,,,,2019-02-27,
100,Vendor3565,CompanyCode14,,,,2019-02-27,
100,Vendor3566,CompanyCode14,,,,2019-02-27,
100,Vendor3567,CompanyCode14,,,,2019-02-27,
100,Vendor3568,CompanyCode14,,,,2019-02-27,
100,Vendor3569,CompanyCode14,,,,2019-02-27,
100,Vendor3633,CompanyCode19,,,,2019-02-27,
100,Vendor3634,CompanyCode19,,,,2019-02-27,
100,Vendor3635,CompanyCode19,,,,2019-02-27,
100,Vendor3636,CompanyCode19,,,,2019-02-27,
100,Vendor3637,CompanyCode19,,,,2019-02-27,
100,Vendor3638,CompanyCode19,,,,2019-02-27,
100,Vendor3639,CompanyCode19,,,,2019-02-27,
100,Vendor3640,CompanyCode19,,,,2019-02-27,
100,Vendor3641,CompanyCode19,,,,2019-02-27,
100,Vendor3642,CompanyCode19,,,,2019-02-27,
100,Vendor3643,CompanyCode19,,,,2019-02-27,
100,Vendor3644,CompanyCode19,,,,2019-02-27,
100,Vendor3645,CompanyCode19,,,,2019-02-27,
100,Vendor3646,CompanyCode19,,,,2019-02-27,
100,Vendor3647,CompanyCode19,,,,2019-02-27,
100,Vendor3648,CompanyCode19,,,,2019-02-27,
100,Vendor3649,CompanyCode19,,,,2019-02-27,
100,Vendor3650,CompanyCode19,,,,2019-02-27,
100,Vendor3651,CompanyCode19,,,,2019-02-27,
100,Vendor3652,CompanyCode19,,,,2019-02-27,
100,Vendor2624,CompanyCode19,,,,2019-02-27,
100,Vendor2625,CompanyCode19,,,,2019-02-27,
100,Vendor2626,CompanyCode19,,,,2019-02-27,
100,Vendor2627,CompanyCode19,,,,2019-02-27,
100,Vendor2628,CompanyCode19,,,,2019-02-27,
100,Vendor2629,CompanyCode19,,,,2019-02-27,
100,Vendor2630,CompanyCode18,,,,2019-05-30,
100,Vendor2631,CompanyCode19,,,,2019-02-27,
100,Vendor2632,CompanyCode19,,,,2019-02-27,
100,Vendor2632,CompanyCode21,,,,2020-12-18,
100,Vendor2633,CompanyCode19,,,,2019-02-27,
100,Vendor2634,CompanyCode19,,,,2019-02-27,
100,Vendor2635,CompanyCode19,,,,2019-02-27,
100,Vendor2636,CompanyCode19,,,,2019-02-27,
100,Vendor2637,CompanyCode19,,,,2019-02-27,
100,Vendor2638,CompanyCode19,,,,2019-02-27,
100,Vendor2639,CompanyCode19,,,,2019-02-27,
100,Vendor2640,CompanyCode19,,,,2019-02-27,
100,Vendor2641,CompanyCode19,,,,2019-02-27,
100,Vendor2642,CompanyCode19,,,,2019-02-27,
100,Vendor2643,CompanyCode19,,,,2019-02-27,
100,Vendor2644,CompanyCode19,,,,2019-02-27,
100,Vendor2645,CompanyCode19,,,,2019-02-27,
100,Vendor2646,CompanyCode19,,,,2019-02-27,
100,Vendor2647,CompanyCode19,,,,2019-02-27,
100,Vendor2648,CompanyCode19,,,,2019-02-27,
100,Vendor2649,CompanyCode19,,,,2019-02-27,
100,Vendor2650,CompanyCode19,,,,2019-02-27,
100,Vendor2651,CompanyCode19,,,,2019-02-27,
100,Vendor2652,CompanyCode19,,,,2019-02-27,
100,Vendor2653,CompanyCode19,,,,2019-02-27,
100,Vendor2654,CompanyCode19,,,,2019-02-27,
100,Vendor2655,CompanyCode19,,,,2019-02-27,
100,Vendor2656,CompanyCode19,,,,2019-02-27,
100,Vendor1629,CompanyCode19,,,,2019-02-27,
100,Vendor1630,CompanyCode19,,,,2019-02-27,
100,Vendor1631,CompanyCode19,,,,2019-02-27,
100,Vendor1632,CompanyCode19,,,,2019-02-27,
100,Vendor1633,CompanyCode19,,,,2019-02-27,
100,Vendor1634,CompanyCode19,,,,2019-02-27,
100,Vendor1635,CompanyCode19,,,,2019-02-27,
100,Vendor1636,CompanyCode19,,,,2019-02-27,
100,Vendor1637,CompanyCode19,,,,2019-02-27,
100,Vendor1638,CompanyCode19,,,,2019-02-27,
100,Vendor1639,CompanyCode19,,,,2019-02-27,
100,Vendor1640,CompanyCode19,,,,2019-02-27,
100,Vendor1641,CompanyCode19,,,,2019-02-27,
100,Vendor1642,CompanyCode19,,,,2019-02-27,
100,Vendor2735,CompanyCode20,,,,2019-05-30,
100,Vendor2736,CompanyCode20,,,,2019-05-30,
100,Vendor2737,CompanyCode20,,,,2019-05-30,
100,Vendor2738,CompanyCode20,,,,2019-05-30,
100,Vendor2739,CompanyCode20,,,,2019-05-30,
100,Vendor2740,CompanyCode20,,,,2019-05-30,
100,Vendor2741,CompanyCode20,,,,2019-05-30,
100,Vendor2742,CompanyCode20,,,,2019-05-30,
100,Vendor2743,CompanyCode20,,,,2019-05-30,
100,Vendor2743,CompanyCode21,,,,2019-08-21,
100,Vendor2744,CompanyCode20,,,,2019-05-30,
100,Vendor2745,CompanyCode20,,,,2019-05-30,
100,Vendor2746,CompanyCode20,,,,2019-05-30,
100,Vendor2746,CompanyCode21,,,,2019-08-21,
100,Vendor2747,CompanyCode20,,,,2019-05-30,
100,Vendor2748,CompanyCode20,,,,2019-05-30,
100,Vendor2749,CompanyCode20,,,,2019-05-30,
100,Vendor2750,CompanyCode20,,,,2019-05-30,
100,Vendor2751,CompanyCode20,,,,2019-05-30,
100,Vendor2752,CompanyCode20,,,,2019-05-30,
100,Vendor2753,CompanyCode20,,,,2019-05-30,
100,Vendor2754,CompanyCode20,,,,2019-05-30,
100,Vendor2755,CompanyCode20,,,,2019-05-30,
100,Vendor2756,CompanyCode20,,,,2019-05-30,
100,Vendor2757,CompanyCode20,,,,2019-05-30,
100,Vendor2758,CompanyCode20,,,,2019-05-30,
100,Vendor2759,CompanyCode20,,,,2019-05-30,
100,Vendor2760,CompanyCode20,,,,2019-05-30,
100,Vendor2761,CompanyCode20,,,,2019-05-30,
100,Vendor2762,CompanyCode20,,,,2019-05-30,
100,Vendor2763,CompanyCode20,,,,2019-05-30,
100,Vendor2764,CompanyCode20,,,,2019-05-30,
100,Vendor2765,CompanyCode20,,,,2019-05-30,
100,Vendor2766,CompanyCode20,,,,2019-05-30,
100,Vendor2767,CompanyCode20,,,,2019-05-30,
100,Vendor2768,CompanyCode20,,,,2019-05-30,
100,Vendor2769,CompanyCode20,,,,2019-05-30,
100,Vendor2770,CompanyCode20,,,,2019-05-30,
100,Vendor2771,CompanyCode20,,,,2019-05-30,
100,Vendor2772,CompanyCode20,,,,2019-05-30,
100,Vendor2773,CompanyCode20,,,,2019-05-30,
