Client,Material Number,Plant
100,MAT80,Plant38
100,MAT81,Plant18
100,MAT81,Plant98
100,MAT81,Plant57
100,MAT82,Plant28
100,MAT83,Plant70
100,MAT84,Plant43
100,MAT85,Plant76
100,MAT85,Plant135
100,MAT86,Plant41
100,MAT87,Plant41
100,MAT88,Plant76
100,MAT89,Plant41
100,MAT90,Plant15
100,MAT91,Plant40
100,MAT92,Plant40
100,MAT93,Plant40
100,MAT94,Plant40
100,MAT95,Plant34
100,MAT95,Plant40
100,MAT96,Plant40
100,MAT97,Plant76
100,MAT97,Plant93
100,MAT97,Plant74
100,MAT98,Plant40
100,MAT99,Plant40
100,MAT100,Plant76
100,MAT101,Plant107
100,MAT102,Plant107
100,MAT103,Plant34
100,MAT104,Plant96
100,MAT105,Plant51
100,MAT106,Plant96
100,MAT107,Plant96
100,MAT108,Plant96
100,MAT109,Plant96
100,MAT110,Plant33
100,MAT111,Plant28
100,MAT111,Plant96
100,MAT112,Plant96
100,MAT113,Plant14
100,MAT113,Plant96
100,MAT114,Plant1
100,MAT115,Plant83
100,MAT116,Plant13
100,MAT116,Plant96
100,MAT117,Plant14
100,MAT118,Plant96
100,MAT119,Plant96
100,MAT120,Plant96
100,MAT121,Plant13
100,MAT122,Plant34
100,MAT123,Plant96
100,MAT124,Plant96
100,MAT125,Plant96
100,MAT126,Plant141
100,MAT127,Plant34
100,MAT127,Plant108
100,MAT127,Plant57
100,MAT127,Plant39
100,MAT128,Plant57
100,MAT128,Plant65
100,MAT129,Plant12
100,MAT130,Plant12
100,MAT130,Plant24
100,MAT131,Plant19
100,MAT132,Plant52
100,MAT133,Plant52
100,MAT134,Plant52
100,MAT135,Plant52
100,MAT136,Plant8
100,MAT137,Plant21
100,MAT137,Plant30
100,MAT138,Plant21
100,MAT138,Plant114
100,MAT138,Plant30
100,MAT138,Plant45
100,MAT138,Plant31
100,MAT138,Plant50
100,MAT139,Plant1
100,MAT139,Plant30
100,MAT139,Plant45
100,MAT139,Plant31
100,MAT139,Plant50
100,MAT140,Plant21
100,MAT141,Plant31
100,MAT142,Plant21
100,MAT142,Plant30
100,MAT143,Plant21
100,MAT143,Plant45
100,MAT144,Plant3
100,MAT144,Plant109
100,MAT144,Plant50
100,MAT145,Plant10
100,MAT145,Plant9
100,MAT145,Plant20
100,MAT145,Plant161
100,MAT145,Plant71
100,MAT145,Plant77
100,MAT145,Plant112
100,MAT145,Plant106
100,MAT145,Plant38
100,MAT145,Plant69
100,MAT145,Plant166
100,MAT146,Plant21
100,MAT146,Plant30
100,MAT146,Plant45
100,MAT146,Plant50
100,MAT147,Plant3
100,MAT147,Plant50
100,MAT148,Plant50
100,MAT149,Plant30
100,MAT150,Plant30
100,MAT151,Plant114
100,MAT151,Plant30
100,MAT152,Plant31
100,MAT153,Plant8
100,MAT154,Plant8
100,MAT155,Plant90
100,MAT156,Plant130
100,MAT157,Plant12
100,MAT157,Plant39
100,MAT158,Plant51
100,MAT159,Plant51
100,MAT160,Plant51
100,MAT161,Plant51
100,MAT162,Plant51
100,MAT163,Plant51
100,MAT164,Plant51
100,MAT165,Plant51
100,MAT166,Plant19
100,MAT166,Plant90
100,MAT166,Plant131
100,MAT167,Plant8
100,MAT167,Plant7
100,MAT167,Plant12
100,MAT168,Plant8
100,MAT169,Plant7
100,MAT169,Plant51
100,MAT170,Plant7
100,MAT171,Plant7
100,MAT171,Plant51
100,MAT172,Plant7
100,MAT173,Plant7
100,MAT173,Plant51
100,MAT173,Plant46
100,MAT173,Plant54
100,MAT174,Plant7
100,MAT174,Plant51
100,MAT174,Plant12
100,MAT174,Plant54
100,MAT175,Plant45
100,MAT176,Plant30
100,MAT177,Plant96
100,MAT178,Plant50
100,MAT179,Plant52
100,MAT180,Plant19
100,MAT181,Plant131
100,MAT182,Plant147
100,MAT183,Plant132
100,MAT184,Plant147
100,MAT185,Plant147
100,MAT186,Plant147
100,MAT187,Plant147
100,MAT188,Plant147
100,MAT189,Plant147
100,MAT190,Plant147
100,MAT191,Plant147
100,MAT192,Plant22
100,MAT192,Plant164
100,MAT192,Plant3
100,MAT193,Plant3
100,MAT194,Plant22
100,MAT194,Plant3
100,MAT194,Plant4
100,MAT194,Plant47
100,MAT194,Plant50
100,MAT195,Plant28
100,MAT195,Plant22
100,MAT195,Plant3
100,MAT196,Plant22
100,MAT196,Plant3
100,MAT196,Plant4
100,MAT197,Plant4
100,MAT197,Plant47
100,MAT198,Plant3
100,MAT198,Plant4
100,MAT198,Plant47
100,MAT199,Plant4
100,MAT199,Plant50
100,MAT200,Plant4
100,MAT200,Plant43
100,MAT200,Plant47
100,MAT200,Plant50
100,MAT201,Plant22
100,MAT201,Plant3
100,MAT201,Plant4
100,MAT201,Plant110
100,MAT201,Plant61
100,MAT201,Plant43
100,MAT201,Plant50
100,MAT202,Plant22
100,MAT202,Plant3
100,MAT202,Plant4
100,MAT202,Plant61
100,MAT202,Plant50
100,MAT203,Plant1
100,MAT204,Plant1
100,MAT205,Plant1
100,MAT206,Plant1
100,MAT207,Plant1
100,MAT208,Plant1
100,MAT209,Plant1
100,MAT210,Plant1
100,MAT211,Plant23
100,MAT212,Plant1
100,MAT212,Plant45
100,MAT213,Plant1
100,MAT214,Plant3
100,MAT215,Plant3
100,MAT216,Plant22
100,MAT216,Plant4
100,MAT217,Plant3
100,MAT217,Plant4
100,MAT218,Plant3
100,MAT219,Plant3
100,MAT220,Plant3
100,MAT221,Plant3
100,MAT222,Plant3
100,MAT223,Plant3
100,MAT224,Plant3
100,MAT225,Plant3
100,MAT226,Plant3
100,MAT227,Plant3
100,MAT228,Plant3
100,MAT229,Plant3
100,MAT230,Plant3
100,MAT231,Plant3
100,MAT232,Plant3
100,MAT233,Plant3
100,MAT234,Plant3
100,MAT235,Plant3
100,MAT236,Plant3
100,MAT237,Plant3
100,MAT237,Plant101
100,MAT238,Plant3
100,MAT239,Plant3
100,MAT240,Plant3
100,MAT241,Plant3
100,MAT242,Plant3
100,MAT243,Plant3
100,MAT244,Plant3
100,MAT244,Plant101
100,MAT245,Plant30
100,MAT246,Plant3
100,MAT247,Plant3
100,MAT248,Plant3
100,MAT249,Plant3
100,MAT250,Plant31
100,MAT251,Plant31
100,MAT252,Plant31
100,MAT253,Plant31
100,MAT254,Plant3
100,MAT255,Plant3
100,MAT256,Plant3
100,MAT257,Plant31
100,MAT258,Plant3
100,MAT259,Plant3
100,MAT260,Plant3
100,MAT261,Plant3
100,MAT262,Plant3
100,MAT263,Plant3
100,MAT264,Plant3
100,MAT265,Plant3
100,MAT266,Plant3
100,MAT267,Plant3
100,MAT268,Plant3
100,MAT269,Plant3
100,MAT270,Plant3
100,MAT271,Plant3
100,MAT272,Plant3
100,MAT273,Plant3
100,MAT274,Plant3
100,MAT275,Plant3
100,MAT276,Plant5
100,MAT277,Plant5
100,MAT278,Plant45
100,MAT279,Plant5
100,MAT280,Plant5
100,MAT281,Plant5
100,MAT282,Plant5
100,MAT283,Plant5
100,MAT284,Plant5
100,MAT285,Plant5
100,MAT286,Plant5
100,MAT287,Plant3
100,MAT288,Plant3
100,MAT289,Plant3
100,MAT289,Plant101
100,MAT290,Plant3
100,MAT291,Plant3
100,MAT292,Plant3
100,MAT293,Plant3
100,MAT294,Plant3
100,MAT295,Plant3
100,MAT296,Plant3
100,MAT297,Plant3
100,MAT298,Plant3
100,MAT299,Plant3
100,MAT300,Plant3
100,MAT301,Plant3
100,MAT302,Plant3
100,MAT303,Plant10
100,MAT304,Plant7
100,MAT305,Plant8
100,MAT306,Plant8
100,MAT307,Plant8
100,MAT307,Plant24
100,MAT308,Plant8
100,MAT309,Plant7
100,MAT309,Plant12
100,MAT310,Plant8
100,MAT311,Plant7
100,MAT311,Plant97
100,MAT311,Plant12
100,MAT312,Plant24
100,MAT313,Plant8
100,MAT313,Plant7
100,MAT314,Plant7
100,MAT314,Plant12
100,MAT314,Plant24
100,MAT315,Plant13
100,MAT316,Plant13
100,MAT317,Plant13
100,MAT318,Plant13
100,MAT319,Plant13
100,MAT320,Plant13
100,MAT321,Plant13
100,MAT322,Plant13
100,MAT323,Plant13
100,MAT324,Plant13
100,MAT325,Plant13
100,MAT326,Plant13
100,MAT327,Plant13
100,MAT328,Plant13
100,MAT329,Plant13
100,MAT330,Plant13
100,MAT331,Plant13
100,MAT332,Plant13
100,MAT333,Plant13
100,MAT334,Plant13
100,MAT335,Plant13
100,MAT336,Plant13
100,MAT337,Plant13
100,MAT338,Plant13
100,MAT339,Plant13
100,MAT340,Plant13
100,MAT341,Plant13
100,MAT342,Plant13
100,MAT343,Plant13
100,MAT344,Plant13
100,MAT345,Plant13
100,MAT346,Plant13
100,MAT347,Plant13
100,MAT348,Plant13
100,MAT349,Plant13
100,MAT350,Plant13
100,MAT351,Plant13
100,MAT352,Plant13
100,MAT353,Plant13
100,MAT354,Plant13
100,MAT355,Plant13
100,MAT356,Plant13
100,MAT357,Plant13
100,MAT358,Plant13
100,MAT359,Plant13
100,MAT360,Plant13
100,MAT361,Plant2
100,MAT362,Plant13
100,MAT363,Plant13
100,MAT364,Plant13
100,MAT365,Plant13
100,MAT366,Plant13
100,MAT367,Plant13
100,MAT368,Plant13
100,MAT369,Plant13
100,MAT370,Plant13
100,MAT371,Plant13
100,MAT372,Plant13
100,MAT373,Plant13
100,MAT374,Plant13
100,MAT375,Plant13
100,MAT376,Plant13
100,MAT377,Plant13
100,MAT378,Plant13
100,MAT379,Plant13
100,MAT380,Plant13
100,MAT381,Plant13
100,MAT382,Plant13
100,MAT383,Plant13
100,MAT384,Plant13
100,MAT385,Plant13
100,MAT386,Plant13
100,MAT387,Plant13
100,MAT388,Plant13
100,MAT389,Plant13
100,MAT390,Plant13
100,MAT391,Plant13
100,MAT392,Plant13
100,MAT393,Plant13
100,MAT394,Plant13
100,MAT395,Plant13
100,MAT396,Plant13
100,MAT397,Plant13
100,MAT398,Plant13
100,MAT399,Plant13
100,MAT400,Plant13
100,MAT401,Plant13
100,MAT402,Plant13
100,MAT403,Plant13
100,MAT404,Plant13
100,MAT405,Plant13
100,MAT406,Plant13
100,MAT407,Plant13
100,MAT408,Plant13
100,MAT409,Plant13
100,MAT410,Plant13
100,MAT411,Plant13
100,MAT412,Plant13
100,MAT413,Plant13
100,MAT414,Plant13
100,MAT414,Plant1
100,MAT415,Plant13
100,MAT416,Plant13
100,MAT416,Plant2
100,MAT417,Plant13
100,MAT418,Plant13
100,MAT419,Plant13
100,MAT420,Plant13
100,MAT421,Plant13
100,MAT422,Plant13
100,MAT423,Plant13
100,MAT424,Plant13
100,MAT425,Plant13
100,MAT426,Plant13
100,MAT427,Plant13
100,MAT428,Plant13
100,MAT429,Plant13
100,MAT430,Plant13
100,MAT431,Plant13
100,MAT432,Plant13
100,MAT433,Plant13
100,MAT434,Plant13
100,MAT435,Plant13
100,MAT436,Plant13
100,MAT437,Plant13
100,MAT438,Plant13
100,MAT439,Plant13
100,MAT440,Plant13
100,MAT441,Plant13
100,MAT442,Plant13
100,MAT443,Plant13
100,MAT444,Plant13
100,MAT445,Plant13
100,MAT446,Plant13
100,MAT447,Plant13
100,MAT448,Plant13
100,MAT449,Plant13
100,MAT450,Plant13
100,MAT451,Plant13
100,MAT452,Plant13
100,MAT453,Plant13
100,MAT454,Plant13
100,MAT455,Plant13
100,MAT456,Plant13
100,MAT457,Plant13
100,MAT458,Plant13
100,MAT459,Plant13
100,MAT460,Plant13
100,MAT461,Plant13
100,MAT462,Plant13
100,MAT463,Plant13
100,MAT464,Plant13
100,MAT465,Plant13
100,MAT465,Plant2
100,MAT466,Plant13
100,MAT466,Plant2
100,MAT467,Plant13
100,MAT468,Plant13
100,MAT469,Plant13
100,MAT470,Plant13
100,MAT471,Plant13
100,MAT472,Plant13
100,MAT473,Plant13
100,MAT474,Plant13
100,MAT475,Plant13
100,MAT476,Plant13
100,MAT477,Plant13
100,MAT478,Plant13
100,MAT479,Plant13
100,MAT480,Plant13
100,MAT481,Plant13
100,MAT482,Plant13
100,MAT483,Plant13
100,MAT483,Plant10
100,MAT484,Plant13
100,MAT485,Plant13
100,MAT486,Plant13
100,MAT487,Plant13
100,MAT488,Plant13
100,MAT489,Plant13
100,MAT490,Plant13
100,MAT491,Plant13
100,MAT492,Plant13
100,MAT493,Plant13
100,MAT494,Plant13
100,MAT495,Plant13
100,MAT496,Plant13
100,MAT497,Plant13
100,MAT498,Plant13
100,MAT499,Plant13
100,MAT500,Plant13
100,MAT501,Plant13
100,MAT502,Plant13
100,MAT503,Plant13
100,MAT504,Plant13
100,MAT505,Plant13
100,MAT505,Plant2
100,MAT506,Plant13
100,MAT507,Plant13
100,MAT508,Plant14
100,MAT509,Plant14
100,MAT510,Plant14
100,MAT511,Plant14
100,MAT512,Plant13
100,MAT513,Plant2
100,MAT514,Plant2
100,MAT515,Plant8
100,MAT516,Plant8
100,MAT517,Plant8
100,MAT518,Plant8
100,MAT519,Plant8
100,MAT520,Plant8
100,MAT521,Plant8
100,MAT522,Plant8
100,MAT523,Plant8
100,MAT524,Plant8
100,MAT525,Plant8
100,MAT526,Plant8
100,MAT527,Plant8
100,MAT528,Plant8
100,MAT529,Plant8
100,MAT530,Plant8
100,MAT531,Plant8
100,MAT532,Plant8
100,MAT533,Plant8
100,MAT534,Plant8
100,MAT535,Plant8
100,MAT536,Plant8
100,MAT537,Plant8
100,MAT538,Plant8
100,MAT539,Plant8
100,MAT540,Plant8
100,MAT541,Plant8
100,MAT542,Plant8
100,MAT543,Plant8
100,MAT544,Plant13
100,MAT545,Plant7
100,MAT546,Plant7
100,MAT547,Plant7
100,MAT548,Plant7
100,MAT549,Plant7
100,MAT550,Plant7
100,MAT551,Plant7
100,MAT552,Plant7
100,MAT553,Plant7
100,MAT554,Plant7
100,MAT555,Plant7
100,MAT556,Plant7
100,MAT557,Plant7
100,MAT558,Plant7
100,MAT559,Plant7
100,MAT560,Plant7
100,MAT561,Plant7
100,MAT562,Plant7
100,MAT563,Plant7
100,MAT564,Plant7
100,MAT565,Plant7
100,MAT566,Plant7
100,MAT567,Plant7
100,MAT568,Plant7
100,MAT569,Plant7
100,MAT570,Plant7
100,MAT571,Plant7
100,MAT572,Plant7
100,MAT573,Plant7
100,MAT574,Plant7
100,MAT575,Plant7
100,MAT576,Plant7
100,MAT577,Plant7
100,MAT578,Plant7
100,MAT579,Plant7
100,MAT580,Plant7
100,MAT581,Plant7
100,MAT582,Plant7
100,MAT583,Plant7
100,MAT584,Plant7
100,MAT585,Plant7
100,MAT586,Plant7
100,MAT587,Plant7
100,MAT588,Plant7
100,MAT589,Plant7
100,MAT590,Plant7
100,MAT591,Plant7
100,MAT592,Plant7
100,MAT593,Plant7
100,MAT594,Plant7
100,MAT595,Plant1
100,MAT596,Plant7
100,MAT597,Plant7
100,MAT598,Plant7
100,MAT599,Plant7
100,MAT600,Plant7
100,MAT601,Plant7
100,MAT602,Plant7
100,MAT603,Plant7
100,MAT604,Plant7
100,MAT605,Plant7
100,MAT606,Plant7
100,MAT607,Plant7
100,MAT608,Plant7
100,MAT609,Plant7
100,MAT610,Plant7
100,MAT610,Plant20
100,MAT611,Plant7
100,MAT612,Plant7
100,MAT613,Plant7
100,MAT614,Plant7
100,MAT615,Plant7
100,MAT616,Plant7
100,MAT617,Plant7
100,MAT618,Plant7
100,MAT619,Plant7
100,MAT620,Plant7
100,MAT621,Plant7
100,MAT622,Plant7
100,MAT623,Plant7
100,MAT624,Plant7
100,MAT625,Plant7
100,MAT626,Plant7
100,MAT627,Plant7
100,MAT628,Plant7
100,MAT629,Plant7
100,MAT630,Plant7
100,MAT631,Plant7
100,MAT632,Plant7
100,MAT633,Plant7
100,MAT634,Plant7
100,MAT635,Plant7
100,MAT636,Plant7
100,MAT637,Plant7
100,MAT638,Plant7
100,MAT639,Plant7
100,MAT640,Plant7
100,MAT641,Plant7
100,MAT642,Plant7
100,MAT643,Plant7
100,MAT644,Plant7
100,MAT645,Plant7
100,MAT646,Plant7
100,MAT647,Plant7
100,MAT648,Plant7
100,MAT649,Plant7
100,MAT650,Plant7
100,MAT651,Plant7
100,MAT652,Plant7
100,MAT653,Plant7
100,MAT654,Plant13
100,MAT655,Plant13
100,MAT656,Plant1
100,MAT657,Plant7
100,MAT658,Plant13
100,MAT659,Plant8
100,MAT660,Plant8
100,MAT661,Plant8
100,MAT662,Plant8
100,MAT663,Plant8
100,MAT664,Plant8
100,MAT665,Plant8
100,MAT666,Plant8
100,MAT667,Plant8
100,MAT668,Plant8
100,MAT669,Plant8
100,MAT670,Plant8
100,MAT671,Plant8
100,MAT672,Plant8
100,MAT673,Plant8
100,MAT674,Plant8
100,MAT675,Plant8
100,MAT676,Plant8
100,MAT677,Plant8
100,MAT678,Plant8
100,MAT679,Plant8
100,MAT680,Plant8
100,MAT681,Plant8
100,MAT682,Plant8
100,MAT683,Plant8
100,MAT684,Plant8
100,MAT685,Plant8
100,MAT686,Plant2
100,MAT687,Plant8
100,MAT688,Plant8
100,MAT689,Plant8
100,MAT690,Plant8
100,MAT691,Plant8
100,MAT692,Plant8
100,MAT693,Plant8
100,MAT694,Plant13
100,MAT694,Plant2
100,MAT695,Plant8
100,MAT696,Plant8
100,MAT697,Plant8
100,MAT698,Plant8
100,MAT699,Plant8
100,MAT700,Plant8
100,MAT701,Plant8
100,MAT702,Plant8
100,MAT703,Plant8
100,MAT704,Plant8
100,MAT705,Plant8
100,MAT706,Plant8
100,MAT707,Plant8
100,MAT708,Plant13
100,MAT709,Plant13
100,MAT710,Plant13
100,MAT711,Plant13
100,MAT712,Plant13
100,MAT713,Plant14
100,MAT714,Plant14
100,MAT715,Plant7
100,MAT716,Plant13
100,MAT717,Plant7
100,MAT718,Plant7
100,MAT719,Plant7
100,MAT720,Plant8
100,MAT721,Plant8
100,MAT722,Plant8
100,MAT723,Plant13
100,MAT724,Plant14
100,MAT725,Plant7
100,MAT726,Plant2
100,MAT727,Plant13
100,MAT728,Plant13
100,MAT729,Plant8
100,MAT729,Plant7
100,MAT730,Plant8
100,MAT731,Plant13
100,MAT732,Plant8
100,MAT733,Plant13
100,MAT734,Plant13
100,MAT735,Plant13
100,MAT736,Plant13
100,MAT737,Plant13
100,MAT738,Plant13
100,MAT739,Plant13
100,MAT740,Plant13
100,MAT741,Plant13
100,MAT742,Plant13
100,MAT743,Plant13
100,MAT744,Plant7
100,MAT745,Plant7
100,MAT746,Plant8
100,MAT747,Plant13
100,MAT748,Plant13
100,MAT749,Plant7
100,MAT750,Plant7
100,MAT751,Plant13
100,MAT752,Plant13
100,MAT753,Plant13
100,MAT754,Plant13
100,MAT755,Plant13
100,MAT756,Plant8
100,MAT757,Plant7
100,MAT758,Plant7
100,MAT759,Plant7
100,MAT760,Plant7
100,MAT761,Plant7
100,MAT762,Plant13
100,MAT763,Plant13
100,MAT764,Plant8
100,MAT765,Plant13
100,MAT766,Plant7
100,MAT767,Plant7
100,MAT768,Plant7
100,MAT769,Plant8
100,MAT770,Plant13
100,MAT771,Plant7
100,MAT772,Plant14
100,MAT773,Plant13
100,MAT774,Plant13
100,MAT775,Plant8
100,MAT776,Plant8
100,MAT777,Plant13
100,MAT778,Plant14
100,MAT779,Plant13
100,MAT780,Plant7
100,MAT781,Plant7
100,MAT782,Plant7
100,MAT783,Plant7
100,MAT784,Plant7
100,MAT785,Plant7
100,MAT786,Plant7
100,MAT787,Plant7
100,MAT788,Plant7
100,MAT789,Plant7
100,MAT790,Plant7
100,MAT791,Plant7
100,MAT792,Plant13
100,MAT793,Plant8
100,MAT794,Plant8
100,MAT795,Plant8
100,MAT796,Plant13
100,MAT797,Plant8
100,MAT798,Plant8
100,MAT799,Plant7
100,MAT800,Plant13
100,MAT801,Plant13
100,MAT802,Plant2
100,MAT803,Plant2
100,MAT804,Plant2
100,MAT805,Plant2
100,MAT806,Plant2
100,MAT807,Plant2
100,MAT808,Plant2
100,MAT809,Plant2
100,MAT810,Plant2
100,MAT811,Plant2
100,MAT812,Plant2
100,MAT813,Plant2
100,MAT814,Plant2
100,MAT815,Plant2
100,MAT816,Plant2
100,MAT817,Plant2
100,MAT818,Plant2
100,MAT819,Plant2
100,MAT820,Plant2
100,MAT821,Plant2
100,MAT822,Plant2
100,MAT823,Plant2
100,MAT824,Plant2
100,MAT825,Plant2
100,MAT826,Plant2
100,MAT827,Plant2
100,MAT828,Plant2
100,MAT829,Plant2
100,MAT830,Plant2
100,MAT831,Plant2
100,MAT832,Plant2
100,MAT833,Plant2
100,MAT834,Plant2
100,MAT835,Plant2
100,MAT836,Plant2
100,MAT837,Plant2
100,MAT838,Plant2
100,MAT839,Plant2
100,MAT840,Plant2
100,MAT841,Plant2
100,MAT842,Plant2
100,MAT843,Plant2
100,MAT844,Plant2
100,MAT845,Plant2
100,MAT846,Plant2
100,MAT847,Plant2
100,MAT848,Plant2
100,MAT849,Plant2
100,MAT850,Plant2
100,MAT851,Plant2
100,MAT852,Plant2
100,MAT853,Plant2
100,MAT854,Plant2
100,MAT855,Plant2
100,MAT856,Plant2
100,MAT857,Plant2
100,MAT858,Plant2
100,MAT859,Plant2
100,MAT860,Plant2
100,MAT861,Plant2
100,MAT862,Plant2
100,MAT863,Plant2
100,MAT864,Plant2
100,MAT865,Plant2
100,MAT866,Plant2
100,MAT867,Plant2
100,MAT868,Plant2
100,MAT869,Plant2
100,MAT870,Plant2
100,MAT871,Plant2
100,MAT872,Plant2
100,MAT873,Plant2
100,MAT874,Plant2
100,MAT875,Plant2
100,MAT876,Plant2
100,MAT877,Plant2
100,MAT878,Plant5
100,MAT879,Plant5
100,MAT880,Plant5
100,MAT881,Plant5
100,MAT882,Plant5
100,MAT883,Plant5
100,MAT884,Plant5
100,MAT885,Plant6
100,MAT886,Plant5
100,MAT887,Plant5
100,MAT888,Plant5
100,MAT889,Plant5
100,MAT890,Plant5
100,MAT891,Plant5
100,MAT892,Plant5
100,MAT893,Plant5
100,MAT894,Plant5
100,MAT895,Plant5
100,MAT896,Plant5
100,MAT897,Plant5
100,MAT898,Plant5
100,MAT899,Plant5
100,MAT900,Plant5
100,MAT901,Plant5
100,MAT902,Plant5
100,MAT903,Plant5
100,MAT904,Plant5
100,MAT905,Plant5
100,MAT906,Plant5
100,MAT907,Plant5
100,MAT908,Plant5
100,MAT909,Plant5
100,MAT910,Plant5
100,MAT911,Plant5
100,MAT912,Plant5
100,MAT913,Plant5
100,MAT914,Plant5
100,MAT915,Plant5
100,MAT916,Plant5
100,MAT917,Plant5
100,MAT918,Plant5
100,MAT919,Plant5
100,MAT920,Plant5
100,MAT921,Plant5
100,MAT922,Plant5
100,MAT923,Plant5
100,MAT924,Plant5
100,MAT925,Plant5
100,MAT926,Plant5
100,MAT927,Plant5
100,MAT928,Plant5
100,MAT929,Plant5
100,MAT930,Plant5
100,MAT931,Plant5
100,MAT932,Plant5
100,MAT933,Plant5
100,MAT934,Plant5
100,MAT935,Plant5
100,MAT936,Plant5
100,MAT937,Plant5
100,MAT938,Plant5
100,MAT939,Plant5
100,MAT940,Plant5
100,MAT941,Plant5
100,MAT942,Plant5
100,MAT943,Plant5
100,MAT944,Plant5
100,MAT945,Plant5
100,MAT946,Plant5
100,MAT947,Plant5
100,MAT948,Plant5
100,MAT949,Plant5
100,MAT950,Plant5
100,MAT951,Plant5
100,MAT952,Plant5
100,MAT953,Plant5
100,MAT954,Plant5
100,MAT954,Plant6
100,MAT955,Plant5
100,MAT956,Plant5
100,MAT957,Plant6
100,MAT958,Plant5
100,MAT959,Plant5
100,MAT960,Plant5
100,MAT961,Plant5
100,MAT962,Plant5
100,MAT963,Plant5
100,MAT964,Plant5
100,MAT965,Plant5
100,MAT966,Plant5
100,MAT967,Plant6
100,MAT968,Plant6
100,MAT969,Plant5
100,MAT970,Plant5
100,MAT971,Plant5
100,MAT972,Plant5
100,MAT973,Plant5
100,MAT974,Plant5
100,MAT975,Plant5
100,MAT976,Plant5
100,MAT977,Plant5
100,MAT978,Plant3
100,MAT979,Plant3
100,MAT980,Plant3
100,MAT981,Plant3
100,MAT982,Plant3
100,MAT983,Plant3
100,MAT984,Plant3
100,MAT985,Plant3
100,MAT986,Plant3
100,MAT987,Plant3
100,MAT988,Plant3
100,MAT989,Plant3
100,MAT990,Plant3
