Previous delivery date,Committed Date,Purchasing Document Number,Item Number of Purchasing Document,Item Delivery Date,Delivery Schedule Line Counter,Loading Date,Client,Material Staging/Availability Date,Statistics-Relevant Delivery Date
,2022-05-27 00:00:00,4000036819,10,2022-07-23,1,2022-05-27,100,2022-05-27,2022-07-23
,2022-05-27 00:00:00,4000036819,20,2022-07-23,1,2022-05-27,100,2022-05-27,2022-07-23
,2022-05-30 00:00:00,4000036820,10,2022-07-26,1,2022-05-30,100,2022-05-30,2022-07-26
,2022-05-30 00:00:00,4000036820,20,2022-07-26,1,2022-05-30,100,2022-05-30,2022-07-26
,2022-06-20 00:00:00,4000036821,10,2022-08-16,1,2022-06-20,100,2022-06-20,2022-08-16
,2022-06-20 00:00:00,4000036821,20,2022-08-16,1,2022-06-20,100,2022-06-20,2022-08-16
,2022-04-22 00:00:00,4000036822,10,2022-06-12,1,2022-04-25,100,2022-04-22,2022-06-12
,2022-04-05 00:00:00,4000036823,10,2022-04-07,1,2022-04-05,100,2022-04-05,2022-04-07
,2022-05-18 00:00:00,4000036824,10,2022-06-29,1,2022-05-19,100,2022-05-18,2022-06-29
,2022-05-17 00:00:00,4000036824,20,2022-06-29,1,2022-06-28,100,2022-06-28,2022-06-29
,2022-05-17 00:00:00,4000036824,30,2022-06-29,1,2022-05-18,100,2022-05-17,2022-06-29
,2022-05-17 00:00:00,4000036824,40,2022-06-29,1,2022-05-18,100,2022-05-17,2022-06-29
,2022-06-02 00:00:00,4000036825,10,2022-07-15,1,2022-06-03,100,2022-06-02,2022-07-15
,2022-06-01 00:00:00,4000036825,20,2022-07-15,1,2022-06-02,100,2022-06-01,2022-07-15
,2022-06-01 00:00:00,4000036825,30,2022-07-15,1,2022-06-02,100,2022-06-01,2022-07-15
,2022-06-01 00:00:00,4000036825,40,2022-07-15,1,2022-06-02,100,2022-06-01,2022-07-15
,2022-07-04 00:00:00,4000036826,10,2022-08-15,1,2022-07-05,100,2022-07-04,2022-08-15
,2022-07-01 00:00:00,4000036826,20,2022-08-15,1,2022-07-04,100,2022-07-01,2022-08-15
,2022-07-01 00:00:00,4000036826,30,2022-08-15,1,2022-07-04,100,2022-07-01,2022-08-15
,2022-07-01 00:00:00,4000036826,40,2022-08-15,1,2022-07-04,100,2022-07-01,2022-08-15
,2022-08-04 00:00:00,4000036827,10,2022-09-15,1,2022-08-05,100,2022-08-04,2022-09-15
,2022-08-03 00:00:00,4000036827,20,2022-09-15,1,2022-08-04,100,2022-08-03,2022-09-15
,2022-08-03 00:00:00,4000036827,30,2022-09-15,1,2022-08-04,100,2022-08-03,2022-09-15
,2022-08-03 00:00:00,4000036827,40,2022-09-15,1,2022-08-04,100,2022-08-03,2022-09-15
,2022-09-01 00:00:00,4000036828,10,2022-10-14,1,2022-09-02,100,2022-09-01,2022-10-14
,2022-08-31 00:00:00,4000036828,20,2022-10-14,1,2022-09-01,100,2022-08-31,2022-10-14
,2022-08-31 00:00:00,4000036828,30,2022-10-14,1,2022-09-01,100,2022-08-31,2022-10-14
,2022-08-31 00:00:00,4000036828,40,2022-10-14,1,2022-09-01,100,2022-08-31,2022-10-14
,2022-04-07 00:00:00,4000036829,10,2022-05-19,1,2022-04-08,100,2022-04-07,2022-05-19
,2022-04-06 00:00:00,4000036829,20,2022-05-18,1,2022-05-17,100,2022-05-17,2022-05-18
,2022-04-07 00:00:00,4000036829,30,2022-05-19,1,2022-04-08,100,2022-04-07,2022-05-19
,2022-04-06 00:00:00,4000036829,40,2022-05-18,1,2022-04-07,100,2022-04-06,2022-05-18
,2022-11-03 00:00:00,4000036830,10,2022-12-15,1,2022-11-04,100,2022-11-03,2022-12-15
,2022-11-02 00:00:00,4000036830,20,2022-12-15,1,2022-11-03,100,2022-11-02,2022-12-15
,2022-11-02 00:00:00,4000036830,30,2022-12-15,1,2022-11-03,100,2022-11-02,2022-12-15
,2022-11-02 00:00:00,4000036830,40,2022-12-15,1,2022-11-03,100,2022-11-02,2022-12-15
,2022-12-02 00:00:00,4000036831,10,2023-01-15,1,2022-12-05,100,2022-12-02,2023-01-15
,2022-12-01 00:00:00,4000036831,20,2023-01-15,1,2022-12-02,100,2022-12-01,2023-01-15
,2022-12-01 00:00:00,4000036831,30,2023-01-15,1,2022-12-02,100,2022-12-01,2023-01-15
,2022-12-01 00:00:00,4000036831,40,2023-01-15,1,2022-12-02,100,2022-12-01,2023-01-15
,2022-05-13 00:00:00,4000036832,10,2022-05-23,1,2022-05-13,100,2022-05-13,2022-05-23
,2022-05-13 00:00:00,4000036832,20,2022-05-23,1,2022-05-13,100,2022-05-13,2022-05-23
,2022-06-01 00:00:00,4000036833,10,2022-06-09,1,2022-06-01,100,2022-06-01,2022-06-09
,2022-06-01 00:00:00,4000036833,20,2022-06-09,1,2022-06-01,100,2022-06-01,2022-06-09
,2022-04-14 00:00:00,4000036834,10,2022-04-30,1,2022-04-14,100,2022-04-14,2022-04-30
,9999-12-31 00:00:00,4000036835,10,2022-05-29,1,2022-05-13,100,2022-05-13,2022-05-29
,2022-06-24 00:00:00,4000036836,10,2022-07-10,1,2022-06-24,100,2022-06-24,2022-07-10
